Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS;Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
04/30/2018;12:00:00;04/30/2018;Trade;1200000;100,10 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
02/12/2018;12:00:00;02/12/2018;Trade;1000000;100,35 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
10/26/2017;12:00:00;10/26/2017;Trade;7400000;100,15 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
10/16/2017;12:00:00;10/16/2017;Trade;4000000;100,30 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
07/06/2017;12:00:00;07/06/2017;Trade;4000000;100,50 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
07/05/2017;12:00:00;07/05/2017;Trade;7400000;100,40 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
05/04/2017;12:00:00;05/04/2017;Trade;7650000;100,70 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
12/06/2016;12:00:00;12/06/2016;Trade;7400000;101,80 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
12/05/2016;12:00:00;12/05/2016;Trade;14800000;101,70 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
10/27/2016;12:00:00;10/27/2016;Trade;2000000;101,80 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
09/26/2016;12:00:00;09/26/2016;Trade;8650000;101,70 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
11/18/2015;12:00:00;11/18/2015;Trade;1000000;100,70 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
08/26/2015;12:00:00;08/26/2015;Trade;3000000;100,90 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
05/12/2015;12:00:00;05/12/2015;Trade;2000000;100,80 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
07/17/2014;12:00:00;07/17/2014;Trade;2000000;100,15 ;-;-;-;-;-;-;-;-;-;-;76117QAB8
