Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/24/2019;09:38:09;5/29/2019;Trade;250000;5.250;;M;;_;_;-;-;S;D;C;76117UAA1
5/24/2019;09:32:05;5/29/2019;Trade;250000;5.000;;M;;_;_;-;-;B;D;C;76117UAA1
4/9/2019;09:56:31;4/11/2019;Trade;500000;4.500;;M;;Z;_;-;-;S;D;C;76117UAA1
4/9/2019;09:51:46;4/11/2019;Trade;500000;4.400;;M;;Z;_;-;-;B;D;C;76117UAA1
7/18/2018;10:18:21;7/20/2018;Trade;750000;88.500;;M;;_;_;-;-;S;D;C;76117UAA1
7/18/2018;10:16:59;7/20/2018;Trade;750000;88.400;;M;;_;_;-;-;B;D;C;76117UAA1
7/5/2018;11:05:31;7/9/2018;Trade;1MM+;88.700;;M;;_;_;-;-;S;D;C;76117UAA1
7/5/2018;11:04:58;7/9/2018;Trade;1MM+;88.600;;M;;_;_;-;-;B;D;C;76117UAA1
7/5/2018;11:04:11;7/9/2018;Trade;1MM+;88.600;;M;;_;_;-;-;B;D;C;76117UAA1
6/28/2018;11:03:46;7/2/2018;Trade;1MM+;88.800;;M;;_;_;-;-;S;D;C;76117UAA1
6/28/2018;11:03:13;7/2/2018;Trade;1MM+;88.700;;M;;_;_;-;-;B;D;C;76117UAA1
6/19/2018;09:33:30;6/21/2018;Trade;1MM+;88.850;;M;;_;_;-;-;S;D;C;76117UAA1
6/19/2018;09:32:26;6/21/2018;Trade;1MM+;88.750;;M;;_;_;-;-;B;D;C;76117UAA1
6/4/2018;13:11:00;6/6/2018;Trade;1MM+;88.400;;M;;_;_;-;-;B;D;C;76117UAA1
6/4/2018;13:10:05;6/6/2018;Trade;720000;88.500;;M;;_;_;-;-;S;D;C;76117UAA1
6/4/2018;13:09:45;6/6/2018;Trade;1MM+;88.500;;M;;_;_;-;-;S;D;C;76117UAA1
6/4/2018;11:11:32;6/6/2018;Trade;1MM+;88.500;;M;;_;_;-;-;S;D;C;76117UAA1
6/4/2018;11:10:45;6/6/2018;Trade;1MM+;88.400;;M;;_;_;-;-;B;D;C;76117UAA1
