Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
10/25/2019;13:05:43;10/29/2019;Trade;900000;96.250;;M;;Z;_;-;A;B;;;76117UAC7
10/25/2019;13:05:43;10/29/2019;Trade;1MM+;96.350;;M;;_;_;-;-;S;D;C;76117UAC7
10/25/2019;13:05:43;10/29/2019;Trade;1MM+;96.250;;M;;_;_;-;-;B;D;C;76117UAC7
10/23/2019;11:59:49;10/25/2019;Trade;1MM+;94.100;;M;;_;_;-;-;S;D;C;76117UAC7
10/23/2019;11:59:06;10/25/2019;Trade;1MM+;94.000;;M;;_;_;-;-;B;D;C;76117UAC7
5/2/2019;10:02:08;5/6/2019;Trade;250000;78.500;;M;;_;_;-;-;S;D;C;76117UAC7
5/2/2019;10:02:02;5/6/2019;Trade;250000;78.400;;M;;_;_;-;-;B;D;C;76117UAC7
3/11/2019;13:20:12;3/13/2019;Trade;750000;79.500;;N;;_;_;-;-;S;D;C;76117UAC7
3/11/2019;13:20:12;3/13/2019;Trade;750000;79.400;;N;;_;_;-;-;B;D;C;76117UAC7
3/11/2019;13:20:00;3/13/2019;Trade;250000;79.500;;N;;Z;_;-;A;S;D;C;76117UAC7
3/11/2019;13:20:00;3/13/2019;Trade;250000;79.500;;N;;Z;_;-;A;S;D;C;76117UAC7
1/3/2019;14:09:23;1/7/2019;Trade;250000;79.050;;M;;_;_;-;-;B;D;C;76117UAC7
1/3/2019;14:09:20;1/7/2019;Trade;250000;79.150;;M;;_;_;-;-;S;D;C;76117UAC7
