Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/29/2020;08:46:47;6/2/2020;Trade;1MM+;95.100;;M;;_;_;-;-;S;D;C;76117UAD5
5/29/2020;08:45:54;6/2/2020;Trade;1MM+;95.000;;M;;_;_;-;-;B;D;C;76117UAD5
3/31/2020;14:13:59;4/2/2020;Trade;1MM+;96.400;;M;;_;_;-;-;B;D;C;76117UAD5
3/31/2020;14:13:59;4/2/2020;Trade;1MM+;96.500;;M;;_;_;-;-;S;D;C;76117UAD5
3/25/2020;12:53:28;3/27/2020;Trade;1MM+;96.000;;M;;_;_;-;-;S;D;C;76117UAD5
3/25/2020;12:52:52;3/27/2020;Trade;1MM+;95.900;;M;;_;_;-;-;B;D;C;76117UAD5
3/25/2020;12:00:47;3/27/2020;Trade;860000;96.000;;M;;_;_;-;-;S;D;C;76117UAD5
3/25/2020;11:58:32;3/27/2020;Trade;860000;95.900;;M;;_;_;-;-;B;D;C;76117UAD5
1/14/2020;10:53:50;1/16/2020;Trade;1000000;98.350;;M;;_;_;-;-;S;D;C;76117UAD5
1/14/2020;10:52:58;1/16/2020;Trade;1000000;98.250;;M;;_;_;-;-;B;D;C;76117UAD5
10/31/2019;13:16:58;11/4/2019;Cancel;250000;99.450;;M;;_;_;-;-;B;D;C;76117UAD5
10/31/2019;13:16:58;11/4/2019;Correction;250000;99.450;;M;;_;_;-;-;S;D;C;76117UAD5
10/31/2019;13:16:56;11/4/2019;Trade;250000;99.400;;M;;_;_;-;-;B;D;C;76117UAD5
5/17/2019;11:40:23;5/21/2019;Trade;250000;97.150;;M;;_;_;-;-;S;D;C;76117UAD5
5/17/2019;11:21:23;5/21/2019;Cancel;250000;97.150;;M;;_;_;-;-;S;D;C;76117UAD5
5/17/2019;11:21:23;5/21/2019;Cancel;250000;97.150;;M;;_;_;-;-;S;D;C;76117UAD5
5/17/2019;11:20:47;5/21/2019;Trade;250000;97.050;;M;;_;_;-;-;B;D;C;76117UAD5
3/28/2019;12:45:14;4/1/2019;Trade;250000;98.200;;M;;_;_;-;-;S;D;C;76117UAD5
3/28/2019;12:44:17;4/1/2019;Trade;250000;98.100;;M;;_;_;-;-;B;D;C;76117UAD5
3/27/2019;11:43:00;3/29/2019;Trade;1MM+;98.100;;M;;_;_;-;-;B;D;C;76117UAD5
3/27/2019;11:42:00;3/29/2019;Trade;1MM+;98.200;;M;;_;_;-;-;S;D;C;76117UAD5
3/8/2019;08:50:45;3/12/2019;Trade;500000;98.350;;M;;_;_;-;-;S;D;C;76117UAD5
3/8/2019;08:43:35;3/12/2019;Trade;500000;98.250;;M;;_;_;-;-;B;D;C;76117UAD5
12/11/2018;11:14:00;12/13/2018;Trade;250000;99.200;;M;;_;_;-;-;S;D;C;76117UAD5
12/11/2018;11:13:24;12/13/2018;Trade;250000;99.100;;M;;_;_;-;-;B;D;C;76117UAD5
