Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/15/2020;11:25:39;7/17/2020;Trade;1MM+;95.100;;M;;_;_;-;-;S;D;C;80000TAB4
7/15/2020;11:24:50;7/17/2020;Trade;1MM+;95.000;;M;;_;_;-;-;B;D;C;80000TAB4
7/15/2020;09:07:41;7/17/2020;Trade;1MM+;95.100;;M;;_;_;-;-;S;D;C;80000TAB4
7/15/2020;09:06:55;7/17/2020;Trade;1MM+;95.000;;M;;_;_;-;-;B;D;C;80000TAB4
6/11/2020;15:49:15;6/15/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;80000TAB4
6/11/2020;15:48:25;6/15/2020;Trade;1MM+;94.500;;M;;_;_;-;-;B;D;C;80000TAB4
4/2/2020;16:57:20;4/6/2020;Trade;1MM+;93.250;;M;;_;_;-;-;B;D;C;80000TAB4
4/2/2020;16:57:20;4/6/2020;Trade;1MM+;93.350;;M;;_;_;-;-;S;D;C;80000TAB4
2/6/2020;14:13:32;2/10/2020;Trade;1MM+;96.500;;M;;_;_;-;-;B;D;C;80000TAB4
2/6/2020;14:13:32;2/10/2020;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;80000TAB4
1/17/2020;09:11:09;1/22/2020;Trade;1MM+;92.250;;M;;_;_;-;-;S;D;C;80000TAB4
1/17/2020;09:10:23;1/22/2020;Trade;1MM+;92.000;;M;;_;_;-;-;B;D;C;80000TAB4
9/24/2019;11:31:32;9/26/2019;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;80000TAB4
9/24/2019;11:30:24;9/26/2019;Trade;1MM+;96.650;;M;;_;_;-;-;B;D;C;80000TAB4
5/30/2019;15:50:29;6/3/2019;Trade;250000;90.000;;M;;_;_;-;-;S;D;C;80000TAB4
5/30/2019;11:14:38;6/3/2019;Trade;250000;89.750;;M;;_;_;-;-;B;D;C;80000TAB4
5/30/2019;11:12:29;6/3/2019;Cancel;250000;90.000;;M;;_;_;-;-;S;D;C;80000TAB4
5/30/2019;11:12:29;6/3/2019;Cancel;250000;90.000;;M;;_;_;-;-;S;D;C;80000TAB4
