Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/10/2019;12:40:34;5/14/2019;Trade;500000;100.050;;M;;_;_;-;-;S;D;C;80000RAE2
5/10/2019;12:39:29;5/14/2019;Trade;500000;99.950;;M;;_;_;-;-;B;D;C;80000RAE2
5/9/2019;10:55:27;5/13/2019;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;80000RAE2
5/9/2019;10:55:00;5/13/2019;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;80000RAE2
5/7/2019;13:59:00;5/9/2019;Trade;250000;100.000;;M;;_;_;-;-;S;D;C;80000RAE2
5/7/2019;10:50:04;5/9/2019;Cancel;250000;100.000;;M;;_;_;-;-;S;D;C;80000RAE2
5/7/2019;10:50:04;5/9/2019;Cancel;250000;100.000;;M;;_;_;-;-;S;D;C;80000RAE2
5/7/2019;10:49:01;5/9/2019;Trade;250000;99.925;;M;;_;_;-;-;B;D;C;80000RAE2
5/3/2019;11:24:14;5/7/2019;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;80000RAE2
5/3/2019;11:21:41;5/7/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;80000RAE2
4/25/2019;07:56:51;4/29/2019;Trade;1MM+;100.090;;M;;_;_;-;-;S;D;C;80000RAE2
4/25/2019;07:56:07;4/29/2019;Trade;750000;100.040;;M;;_;_;-;-;B;D;C;80000RAE2
4/25/2019;07:55:20;4/29/2019;Trade;1MM+;100.040;;M;;_;_;-;-;B;D;C;80000RAE2
4/24/2019;11:08:25;4/26/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;80000RAE2
4/24/2019;11:07:47;4/26/2019;Trade;750000;100.050;;M;;_;_;-;-;B;D;C;80000RAE2
4/24/2019;11:07:04;4/26/2019;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;80000RAE2
3/1/2019;11:44:22;3/5/2019;Trade;500000;100.150;;M;;_;_;-;-;B;D;C;80000RAE2
3/1/2019;11:25:32;3/5/2019;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;80000RAE2
2/25/2019;12:35:34;2/27/2019;Trade;500000;100.150;;M;;_;_;-;-;B;D;C;80000RAE2
2/25/2019;12:32:36;2/27/2019;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;80000RAE2
2/25/2019;11:19:28;2/27/2019;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;80000RAE2
2/25/2019;11:18:47;2/27/2019;Trade;500000;100.150;;M;;_;_;-;-;B;D;C;80000RAE2
2/5/2019;10:32:52;2/7/2019;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;80000RAE2
2/5/2019;10:21:22;2/7/2019;Trade;1MM+;100.300;;M;;_;_;-;-;B;D;C;80000RAE2
1/28/2019;13:09:58;1/30/2019;Trade;1MM+;100.380;;M;;_;_;-;-;S;D;C;80000RAE2
1/28/2019;13:09:16;1/30/2019;Trade;1MM+;100.330;;M;;_;_;-;-;B;D;C;80000RAE2
1/28/2019;12:56:05;1/30/2019;Trade;900000;100.320;;M;;_;_;-;-;S;D;C;80000RAE2
1/28/2019;12:55:26;1/30/2019;Trade;900000;100.270;;M;;_;_;-;-;B;D;C;80000RAE2
12/3/2018;13:52:19;12/5/2018;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;80000RAE2
12/3/2018;13:50:17;12/5/2018;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;80000RAE2
12/3/2018;11:44:01;12/5/2018;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;80000RAE2
12/3/2018;11:30:17;12/5/2018;Cancel;1MM+;99.100;;M;;_;_;-;-;S;D;C;80000RAE2
12/3/2018;11:30:17;12/5/2018;Cancel;1MM+;99.100;;M;;_;_;-;-;S;D;C;80000RAE2
12/3/2018;11:29:32;12/5/2018;Correction;1MM+;99.000;;M;;_;_;-;-;B;D;C;80000RAE2
12/3/2018;11:29:32;12/5/2018;Cancel;1MM+;99.000;;M;;_;_;-;-;B;D;C;80000RAE2
11/30/2018;11:59:17;12/4/2018;Trade;250000;98.900;;M;;_;_;-;-;B;D;C;80000RAE2
11/30/2018;11:59:17;12/4/2018;Trade;250000;99.000;;M;;_;_;-;-;S;D;C;80000RAE2
11/28/2018;10:41:40;11/30/2018;Trade;250000;100.200;;M;;_;_;-;-;S;D;C;80000RAE2
11/28/2018;10:41:32;11/30/2018;Trade;250000;100.100;;M;;_;_;-;-;B;D;C;80000RAE2
11/6/2018;11:39:41;11/8/2018;Trade;750000;100.200;;M;;_;_;-;-;S;D;C;80000RAE2
11/6/2018;11:39:12;11/8/2018;Trade;750000;100.100;;M;;_;_;-;-;B;D;C;80000RAE2
10/29/2018;15:26:01;10/31/2018;Trade;250000;100.400;;M;;_;_;-;-;S;D;C;80000RAE2
10/29/2018;15:25:45;10/31/2018;Trade;750000;100.400;;M;;_;_;-;-;S;D;C;80000RAE2
10/29/2018;15:25:21;10/31/2018;Trade;1000000;100.300;;M;;_;_;-;-;B;D;C;80000RAE2
10/29/2018;15:24:01;10/31/2018;Cancel;1MM+;100.300;;M;;_;_;-;-;B;D;C;80000RAE2
10/29/2018;15:24:01;10/31/2018;Cancel;750000;100.300;;M;;_;_;-;-;B;D;C;80000RAE2
10/29/2018;15:24:01;10/31/2018;Cancel;750000;100.300;;M;;_;_;-;-;B;D;C;80000RAE2
10/29/2018;14:55:37;10/31/2018;Cancel;250000;100.300;;M;;Z;_;-;-;B;D;C;80000RAE2
10/29/2018;14:55:37;10/31/2018;Cancel;250000;100.300;;M;;Z;_;-;-;B;D;C;80000RAE2
10/29/2018;14:55:37;10/31/2018;Cancel;1000000;100.300;;M;;_;_;-;-;B;D;C;80000RAE2
10/29/2018;14:55:00;10/31/2018;Cancel;1000000;100.400;;M;;_;_;-;-;S;D;C;80000RAE2
10/29/2018;14:55:00;10/31/2018;Cancel;1000000;100.400;;M;;_;_;-;-;S;D;C;80000RAE2
10/26/2018;10:45:00;10/30/2018;Cancel;1MM+;100.300;;M;;_;_;-;-;B;D;C;80000RAE2
10/26/2018;10:45:00;10/30/2018;Cancel;1MM+;100.400;;M;;_;_;-;-;S;D;C;80000RAE2
10/26/2018;10:45:00;10/30/2018;Correction;1MM+;100.300;;M;;Z;_;-;-;B;D;C;80000RAE2
10/26/2018;10:45:00;10/30/2018;Correction;1MM+;100.400;;M;;Z;_;-;-;S;D;C;80000RAE2
10/4/2018;11:11:36;10/9/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;80000RAE2
10/4/2018;11:10:59;10/9/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;80000RAE2
10/4/2018;11:10:21;10/9/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;80000RAE2
8/23/2018;09:34:37;8/27/2018;Trade;500000;100.000;;M;;_;_;-;-;S;D;C;80000RAE2
8/23/2018;09:34:03;8/27/2018;Trade;500000;99.900;;M;;_;_;-;-;B;D;C;80000RAE2
8/22/2018;11:52:19;8/24/2018;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;80000RAE2
8/22/2018;11:51:49;8/24/2018;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;80000RAE2
8/16/2018;10:26:35;8/20/2018;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;80000RAE2
8/16/2018;10:26:32;8/20/2018;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;80000RAE2
