Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/8/2020;13:52:12;7/10/2020;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;80000RAG7
7/8/2020;13:51:21;7/10/2020;Trade;1MM+;96.650;;M;;_;_;-;-;B;D;C;80000RAG7
7/8/2020;10:03:13;7/10/2020;Cancel;900000;97.750;;M;;_;_;-;-;S;D;C;80000RAG7
7/8/2020;10:03:13;7/10/2020;Correction;900000;96.750;;M;;Z;_;-;-;S;D;C;80000RAG7
7/8/2020;10:00:02;7/10/2020;Correction;900000;96.650;;M;;Z;_;-;-;B;D;C;80000RAG7
7/8/2020;10:00:02;7/10/2020;Cancel;900000;97.650;;M;;_;_;-;-;B;D;C;80000RAG7
7/8/2020;09:59:19;7/10/2020;Trade;1MM+;96.650;;M;;_;_;-;-;B;D;C;80000RAG7
7/8/2020;09:58:23;7/10/2020;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;80000RAG7
3/24/2020;12:27:31;3/26/2020;Trade;1MM+;95.000;;M;;_;_;-;-;S;D;C;80000RAG7
3/24/2020;12:26:17;3/26/2020;Trade;1MM+;94.900;;M;;_;_;-;-;B;D;C;80000RAG7
3/24/2020;09:50:18;3/26/2020;Trade;1MM+;95.000;;M;;_;_;-;-;S;D;C;80000RAG7
3/24/2020;09:49:44;3/26/2020;Trade;1MM+;95.000;;M;;_;_;-;-;S;D;C;80000RAG7
3/24/2020;09:48:53;3/26/2020;Trade;1MM+;94.900;;M;;_;_;-;-;B;D;C;80000RAG7
3/23/2020;10:41:14;3/25/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;80000RAG7
3/23/2020;10:40:31;3/25/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;80000RAG7
3/23/2020;10:39:46;3/25/2020;Trade;1MM+;94.500;;M;;_;_;-;-;B;D;C;80000RAG7
3/23/2020;09:08:49;3/25/2020;Trade;937000;94.600;;M;;_;_;-;-;S;D;C;80000RAG7
3/23/2020;09:08:15;3/25/2020;Trade;937000;94.500;;M;;_;_;-;-;B;D;C;80000RAG7
3/20/2020;13:43:29;3/24/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;80000RAG7
3/20/2020;13:42:54;3/24/2020;Trade;1MM+;94.600;;M;;_;_;-;-;S;D;C;80000RAG7
3/20/2020;13:41:56;3/24/2020;Trade;1MM+;94.500;;M;;_;_;-;-;B;D;C;80000RAG7
3/19/2020;17:29:29;3/23/2020;Trade;1MM+;93.500;;M;;T;_;-;-;B;D;C;80000RAG7
3/19/2020;17:29:29;3/23/2020;Trade;1MM+;93.600;;M;;T;_;-;-;S;D;C;80000RAG7
3/19/2020;10:37:33;3/23/2020;Trade;1MM+;94.500;;M;;_;_;-;-;S;D;C;80000RAG7
3/19/2020;10:36:44;3/23/2020;Trade;1MM+;94.400;;M;;_;_;-;-;B;D;C;80000RAG7
3/19/2020;10:33:29;3/23/2020;Trade;1MM+;94.490;;M;;_;_;-;-;S;D;C;80000RAG7
3/19/2020;10:32:42;3/23/2020;Trade;1MM+;94.420;;M;;_;_;-;-;B;D;C;80000RAG7
2/26/2020;11:04:30;2/28/2020;Trade;1MM+;97.950;;M;;_;_;-;-;S;D;C;80000RAG7
2/26/2020;11:04:26;2/28/2020;Trade;1MM+;97.850;;M;;_;_;-;-;B;D;C;80000RAG7
2/26/2020;09:20:56;2/28/2020;Trade;250000;97.750;;M;;_;_;-;-;B;D;C;80000RAG7
1/7/2020;12:21:44;1/9/2020;Trade;500000;97.900;;M;;_;_;-;-;B;D;C;80000RAG7
1/7/2020;12:18:07;1/9/2020;Trade;500000;98.000;;M;;_;_;-;-;S;D;C;80000RAG7
12/19/2019;09:55:32;12/23/2019;Trade;1000000;98.000;;M;;_;_;-;-;S;D;C;80000RAG7
12/19/2019;09:54:52;12/23/2019;Trade;1000000;97.900;;M;;_;_;-;-;B;D;C;80000RAG7
11/20/2019;13:32:46;11/22/2019;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;80000RAG7
11/20/2019;13:32:30;11/22/2019;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;80000RAG7
9/4/2019;12:16:34;9/6/2019;Trade;1MM+;97.500;;M;;_;_;-;-;S;D;C;80000RAG7
9/4/2019;12:14:50;9/6/2019;Trade;1MM+;97.400;;M;;_;_;-;-;B;D;C;80000RAG7
9/4/2019;12:09:17;9/6/2019;Trade;1000000;97.400;;M;;_;_;-;-;B;D;C;80000RAG7
8/13/2019;10:32:49;8/15/2019;Trade;850000;97.770;;M;;_;_;-;-;S;D;C;80000RAG7
8/13/2019;10:32:12;8/15/2019;Trade;850000;97.730;;M;;_;_;-;-;B;;;80000RAG7
8/9/2019;11:30:15;8/13/2019;Trade;250000;97.450;;M;;_;_;-;-;B;D;C;80000RAG7
8/9/2019;11:28:34;8/13/2019;Trade;250000;97.550;;M;;_;_;-;-;S;D;C;80000RAG7
