Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/8/2020;10:36:12;5/12/2020;Trade;500000;99.850;;M;;Z;_;-;A;B;D;C;80000RAH5
5/8/2020;10:36:12;5/12/2020;Trade;500000;99.950;;M;;Z;_;-;A;S;D;C;80000RAH5
5/7/2020;09:15:44;5/11/2020;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;80000RAH5
5/7/2020;09:11:39;5/11/2020;Trade;1MM+;99.850;;M;;_;_;-;-;B;D;C;80000RAH5
3/25/2020;10:46:51;3/27/2020;Trade;800000;99.150;;M;;_;_;-;-;B;D;C;80000RAH5
3/25/2020;10:46:51;3/27/2020;Trade;800000;99.250;;M;;_;_;-;-;S;;;80000RAH5
3/17/2020;15:01:57;3/19/2020;Trade;1MM+;99.900;;M;;_;_;-;-;S;D;C;80000RAH5
3/17/2020;15:01:55;3/19/2020;Trade;1MM+;99.800;;M;;_;_;-;-;B;D;C;80000RAH5
3/5/2020;08:52:41;3/9/2020;Trade;350000;100.250;;M;;_;_;-;-;S;D;C;80000RAH5
3/5/2020;08:46:41;3/9/2020;Trade;350000;100.150;;M;;_;_;-;-;B;D;C;80000RAH5
3/4/2020;11:05:55;3/6/2020;Trade;1000000;100.250;;M;;_;_;-;-;S;D;C;80000RAH5
3/4/2020;11:05:18;3/6/2020;Trade;1000000;100.150;;M;;_;_;-;-;B;D;C;80000RAH5
11/1/2019;11:33:15;11/5/2019;Trade;750000;100.050;;M;;_;_;-;-;B;D;C;80000RAH5
11/1/2019;11:33:15;11/5/2019;Trade;750000;100.150;;M;;_;_;-;-;S;D;C;80000RAH5
8/13/2019;10:31:08;8/15/2019;Trade;450000;99.270;;M;;_;_;-;-;S;D;C;80000RAH5
8/13/2019;10:30:42;8/15/2019;Trade;450000;99.230;;M;;_;_;-;-;B;;;80000RAH5
7/26/2019;08:57:48;7/30/2019;Trade;510000;98.850;;M;;_;_;-;-;S;D;C;80000RAH5
7/26/2019;08:56:23;7/30/2019;Trade;510000;98.750;;M;;_;_;-;-;B;D;C;80000RAH5
6/6/2019;10:27:37;6/10/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;80000RAH5
6/6/2019;10:26:24;6/10/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;80000RAH5
4/15/2019;11:36:50;4/17/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;80000RAH5
4/15/2019;11:36:08;4/17/2019;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;80000RAH5
4/12/2019;11:34:31;4/16/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;80000RAH5
4/12/2019;11:33:51;4/16/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;80000RAH5
3/7/2019;11:52:09;3/11/2019;Trade;250000;99.200;;M;;_;_;-;-;S;D;C;80000RAH5
3/7/2019;11:51:08;3/11/2019;Trade;250000;99.100;;M;;_;_;-;-;B;D;C;80000RAH5
2/22/2019;10:45:43;2/26/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;80000RAH5
2/22/2019;10:45:08;2/26/2019;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;80000RAH5
2/21/2019;11:10:24;2/25/2019;Trade;750000;99.450;;M;;_;_;-;-;S;D;C;80000RAH5
2/21/2019;11:09:36;2/25/2019;Trade;750000;99.350;;M;;_;_;-;-;B;D;C;80000RAH5
2/15/2019;16:23:23;2/20/2019;Trade;250000;99.450;;M;;_;_;-;-;S;D;C;80000RAH5
2/15/2019;16:20:40;2/20/2019;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;80000RAH5
2/15/2019;16:20:33;2/20/2019;Trade;300000;99.450;;M;;_;_;-;-;S;D;C;80000RAH5
2/15/2019;11:19:15;2/20/2019;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;80000RAH5
2/15/2019;11:18:33;2/20/2019;Cancel;1MM+;99.450;;M;;_;_;-;-;S;D;C;80000RAH5
2/15/2019;11:18:33;2/20/2019;Cancel;1MM+;99.450;;M;;_;_;-;-;S;D;C;80000RAH5
