Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/3/2020;10:58:00;6/5/2020;Trade;1MM+;93.600;;M;;_;_;-;-;S;D;C;80000RAJ1
6/3/2020;10:57:24;6/5/2020;Trade;1MM+;93.400;;M;;_;_;-;-;B;D;C;80000RAJ1
6/2/2020;10:23:09;6/4/2020;Trade;500000;93.900;;M;;_;_;-;-;S;D;C;80000RAJ1
6/2/2020;10:19:14;6/4/2020;Trade;500000;93.650;;M;;_;_;-;-;B;D;C;80000RAJ1
5/8/2020;10:41:19;5/12/2020;Trade;1MM+;94.100;;M;;_;_;-;-;B;D;C;80000RAJ1
5/8/2020;10:40:37;5/12/2020;Trade;1MM+;94.200;;M;;_;_;-;-;S;D;C;80000RAJ1
5/8/2020;10:31:57;5/12/2020;Cancel;1MM+;99.200;;M;;_;_;-;-;S;D;C;80000RAJ1
5/8/2020;10:31:57;5/12/2020;Cancel;1MM+;99.200;;M;;_;_;-;-;S;D;C;80000RAJ1
4/8/2020;14:32:08;4/13/2020;Trade;1000000;93.850;;M;;_;_;-;-;B;D;C;80000RAJ1
4/8/2020;14:32:08;4/13/2020;Trade;1000000;93.950;;M;;_;_;-;-;S;D;C;80000RAJ1
3/26/2020;13:24:38;3/30/2020;Trade;1MM+;93.350;;M;;_;_;-;-;B;D;C;80000RAJ1
3/26/2020;13:24:38;3/30/2020;Trade;1MM+;93.600;;M;;_;_;-;-;S;D;C;80000RAJ1
3/19/2020;14:31:11;3/23/2020;Trade;1MM+;93.450;;M;;_;_;-;-;S;D;C;80000RAJ1
3/19/2020;14:31:09;3/23/2020;Trade;1MM+;93.500;;M;;_;_;-;-;S;D;C;80000RAJ1
3/19/2020;14:31:07;3/23/2020;Trade;1MM+;93.300;;M;;_;_;-;-;B;D;C;80000RAJ1
3/10/2020;13:22:09;3/12/2020;Trade;1MM+;96.000;;M;;_;_;-;-;B;D;C;80000RAJ1
3/10/2020;13:21:42;3/12/2020;Trade;1MM+;96.100;;M;;_;_;-;-;S;D;C;80000RAJ1
2/12/2020;15:15:58;2/14/2020;Trade;1MM+;97.350;;M;;_;_;-;-;B;D;C;80000RAJ1
2/12/2020;15:15:48;2/14/2020;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;80000RAJ1
2/12/2020;15:15:48;2/14/2020;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;80000RAJ1
1/15/2020;09:52:21;1/17/2020;Trade;1MM+;93.000;;M;;_;_;-;-;S;D;C;80000RAJ1
1/15/2020;09:51:39;1/17/2020;Trade;1MM+;92.750;;M;;_;_;-;-;B;D;C;80000RAJ1
12/4/2019;09:03:41;12/6/2019;Trade;1MM+;91.600;;M;;_;_;-;-;S;D;C;80000RAJ1
12/4/2019;09:02:11;12/6/2019;Trade;1MM+;91.500;;M;;_;_;-;-;B;D;C;80000RAJ1
10/3/2019;09:17:34;10/7/2019;Trade;1000000;97.700;;M;;_;_;-;-;B;D;C;80000RAJ1
10/3/2019;09:00:36;10/7/2019;Trade;1000000;97.800;;M;;_;_;-;-;S;D;C;80000RAJ1
9/11/2019;12:28:50;9/13/2019;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;80000RAJ1
9/11/2019;12:28:48;9/13/2019;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;80000RAJ1
7/25/2019;14:27:20;7/29/2019;Trade;1MM+;97.600;;M;;_;_;-;-;S;D;C;80000RAJ1
7/25/2019;14:24:55;7/29/2019;Trade;1MM+;97.500;;M;;_;_;-;-;B;D;C;80000RAJ1
7/18/2019;12:13:15;7/22/2019;Trade;1000000;97.800;;M;;_;_;-;-;S;D;C;80000RAJ1
7/18/2019;12:12:43;7/22/2019;Trade;1000000;97.700;;M;;_;_;-;-;B;D;C;80000RAJ1
7/18/2019;10:01:42;7/22/2019;Trade;1MM+;97.800;;M;;_;_;-;-;S;D;C;80000RAJ1
7/18/2019;10:01:06;7/22/2019;Trade;1MM+;97.700;;M;;_;_;-;-;B;D;C;80000RAJ1
7/18/2019;10:00:25;7/22/2019;Trade;1000000;97.700;;M;;_;_;-;-;B;D;C;80000RAJ1
7/15/2019;09:38:37;7/17/2019;Trade;1MM+;97.350;;M;;_;_;-;-;B;D;C;80000RAJ1
7/15/2019;09:38:05;7/17/2019;Trade;1MM+;97.450;;M;;_;_;-;-;S;D;C;80000RAJ1
7/3/2019;12:01:01;7/8/2019;Trade;1MM+;97.350;;M;;_;_;-;-;S;D;C;80000RAJ1
7/3/2019;12:00:28;7/8/2019;Trade;1MM+;97.250;;M;;_;_;-;-;B;D;C;80000RAJ1
7/3/2019;11:15:09;7/8/2019;Trade;1MM+;97.350;;M;;_;_;-;-;S;D;C;80000RAJ1
7/3/2019;11:14:32;7/8/2019;Trade;1MM+;97.250;;M;;_;_;-;-;B;D;C;80000RAJ1
6/26/2019;11:23:50;6/28/2019;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;80000RAJ1
6/26/2019;11:23:28;6/28/2019;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;80000RAJ1
6/25/2019;12:12:17;6/27/2019;Trade;500000;96.700;;M;;_;_;-;-;S;D;C;80000RAJ1
6/25/2019;12:11:49;6/27/2019;Trade;500000;96.600;;M;;_;_;-;-;B;D;C;80000RAJ1
6/7/2019;09:38:23;6/11/2019;Trade;500000;95.600;;M;;_;_;-;-;S;D;C;80000RAJ1
6/7/2019;09:37:32;6/11/2019;Trade;500000;95.500;;M;;_;_;-;-;B;D;C;80000RAJ1
5/21/2019;09:07:56;5/23/2019;Trade;1MM+;95.650;;M;;_;_;-;-;S;D;C;80000RAJ1
