Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/2/2020;12:01:21;7/7/2020;Trade;500000;99.600;;M;;_;_;-;-;S;D;C;826359AA9
7/2/2020;09:23:00;7/7/2020;Trade;1MM+;99.500;;M;;Z;_;-;-;B;D;C;826359AA9
7/2/2020;09:20:18;7/7/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;826359AA9
7/2/2020;09:18:19;7/7/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;826359AA9
7/2/2020;09:15:54;7/7/2020;Trade;500000;99.600;;M;;_;_;-;-;S;D;C;826359AA9
6/9/2020;12:36:32;6/11/2020;Trade;1MM+;99.350;;M;;Z;_;-;A;S;D;C;826359AA9
6/9/2020;12:03:12;6/11/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;826359AA9
6/9/2020;12:01:39;6/11/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;826359AA9
6/5/2020;13:17:53;6/9/2020;Trade;1MM+;99.250;;M;;_;_;-;-;B;D;C;826359AA9
6/5/2020;12:55:12;6/9/2020;Trade;1MM+;99.350;;M;;_;_;-;-;S;D;C;826359AA9
6/5/2020;12:55:12;6/9/2020;Trade;500000;99.350;;M;;Z;_;-;A;S;D;C;826359AA9
6/5/2020;12:55:12;6/9/2020;Trade;1MM+;99.350;;M;;Z;_;-;A;S;D;C;826359AA9
5/28/2020;09:08:37;6/1/2020;Trade;1000000;99.350;;M;;Z;_;-;-;S;D;C;826359AA9
5/28/2020;09:05:24;6/1/2020;Trade;1000000;99.250;;M;;Z;_;-;-;B;D;C;826359AA9
5/21/2020;13:33:31;5/26/2020;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;826359AA9
5/21/2020;13:31:58;5/26/2020;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;826359AA9
3/18/2020;08:19:36;3/20/2020;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;826359AA9
3/18/2020;08:19:06;3/20/2020;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;826359AA9
3/18/2020;08:17:43;3/20/2020;Trade;1MM+;99.900;;M;;_;_;-;-;B;D;C;826359AA9
3/18/2020;08:15:34;3/20/2020;Trade;1000000;99.900;;M;;_;_;-;-;B;D;C;826359AA9
1/7/2020;11:24:04;1/9/2020;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;826359AA9
1/7/2020;11:20:38;1/9/2020;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;826359AA9
