Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/9/2020;15:19:51;6/11/2020;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;84763LAA2
6/9/2020;15:19:19;6/11/2020;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;84763LAA2
3/30/2020;10:55:24;4/1/2020;Trade;500000;99.000;;M;;_;_;-;-;B;D;C;84763LAA2
3/30/2020;10:55:24;4/1/2020;Trade;500000;99.100;;M;;_;_;-;-;S;D;C;84763LAA2
3/26/2020;11:49:53;3/30/2020;Trade;500000;99.000;;M;;_;_;-;-;S;D;C;84763LAA2
3/26/2020;11:48:46;3/30/2020;Trade;500000;98.900;;M;;_;_;-;-;B;D;C;84763LAA2
3/26/2020;09:25:31;3/30/2020;Trade;575000;99.000;;M;;_;_;-;-;S;D;C;84763LAA2
3/26/2020;09:24:52;3/30/2020;Trade;575000;98.900;;M;;_;_;-;-;B;D;C;84763LAA2
3/26/2020;08:30:59;3/30/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;84763LAA2
3/26/2020;08:30:10;3/30/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;84763LAA2
3/17/2020;08:58:57;3/19/2020;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;84763LAA2
3/17/2020;08:56:39;3/19/2020;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;84763LAA2
11/8/2019;10:30:06;11/13/2019;Trade;1MM+;100.300;;M;;_;_;-;-;S;D;C;84763LAA2
11/8/2019;10:30:04;11/13/2019;Trade;1MM+;100.200;;M;;_;_;-;-;B;D;C;84763LAA2
11/1/2019;10:23:56;11/5/2019;Trade;750000;100.050;;M;;_;_;-;-;S;D;C;84763LAA2
11/1/2019;10:23:56;11/5/2019;Trade;750000;99.950;;M;;_;_;-;-;B;D;C;84763LAA2
8/12/2019;13:02:40;8/14/2019;Trade;250000;98.000;;M;;_;_;-;-;S;D;C;84763LAA2
8/12/2019;13:02:08;8/14/2019;Trade;250000;97.900;;M;;_;_;-;-;B;D;C;84763LAA2
5/10/2019;09:14:19;5/14/2019;Trade;300000;97.400;;M;;_;_;-;-;S;D;C;84763LAA2
5/10/2019;09:13:20;5/14/2019;Trade;300000;97.300;;M;;_;_;-;-;B;D;C;84763LAA2
5/9/2019;10:33:14;5/13/2019;Trade;1MM+;97.400;;M;;_;_;-;-;S;D;C;84763LAA2
5/9/2019;10:32:35;5/13/2019;Trade;1MM+;97.300;;M;;_;_;-;-;B;D;C;84763LAA2
5/9/2019;10:05:16;5/13/2019;Trade;1MM+;97.400;;M;;_;_;-;-;S;D;C;84763LAA2
5/9/2019;10:04:19;5/13/2019;Trade;1MM+;97.300;;M;;_;_;-;-;B;D;C;84763LAA2
3/11/2019;12:09:11;3/13/2019;Trade;250000;98.450;;M;;_;_;-;-;B;D;C;84763LAA2
3/11/2019;12:08:27;3/13/2019;Trade;250000;98.550;;M;;_;_;-;-;S;D;C;84763LAA2
12/17/2018;17:45:02;12/19/2018;Trade;250000;98.600;;M;;T;_;-;-;S;D;C;84763LAA2
12/17/2018;12:43:02;12/19/2018;Cancel;250000;98.600;;M;;_;_;-;-;S;D;C;84763LAA2
