Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/28/2020;08:34:27;4/30/2020;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;84763LAB0
4/28/2020;08:33:48;4/30/2020;Trade;750000;99.900;;M;;_;_;-;-;B;D;C;84763LAB0
4/28/2020;08:33:11;4/30/2020;Trade;1000000;100.000;;M;;_;_;-;-;S;D;C;84763LAB0
3/31/2020;08:49:13;4/2/2020;Trade;250000;99.000;;M;;_;_;-;-;S;D;C;84763LAB0
3/31/2020;08:48:25;4/2/2020;Trade;250000;98.900;;M;;_;_;-;-;B;D;C;84763LAB0
3/26/2020;08:54:26;3/30/2020;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;84763LAB0
3/26/2020;08:53:17;3/30/2020;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;84763LAB0
3/24/2020;10:44:35;3/26/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;84763LAB0
3/24/2020;10:43:59;3/26/2020;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;84763LAB0
2/25/2020;11:14:44;2/27/2020;Trade;500000;101.000;;M;;_;_;-;-;S;D;C;84763LAB0
2/25/2020;11:13:58;2/27/2020;Trade;500000;100.900;;M;;_;_;-;-;B;D;C;84763LAB0
2/19/2020;09:17:55;2/21/2020;Trade;500000;100.900;;M;;_;_;-;-;S;D;C;84763LAB0
2/19/2020;09:15:58;2/21/2020;Correction;500000;100.800;;M;;_;_;-;-;B;D;C;84763LAB0
2/19/2020;09:15:58;2/21/2020;Cancel;500000;100.600;;M;;_;_;-;-;B;D;C;84763LAB0
1/23/2020;09:07:37;1/27/2020;Trade;1000000;100.750;;M;;_;_;-;-;S;D;C;84763LAB0
1/23/2020;09:07:32;1/27/2020;Trade;1000000;100.650;;M;;_;_;-;-;B;D;C;84763LAB0
1/22/2020;14:42:14;1/24/2020;Cancel;1MM+;100.750;;M;;_;_;-;-;B;D;C;84763LAB0
1/22/2020;14:42:14;1/24/2020;Trade;1MM+;100.750;;M;;Z;_;-;-;S;D;C;84763LAB0
1/22/2020;14:42:14;1/24/2020;Cancel;1MM+;100.750;;M;;_;_;-;-;B;D;C;84763LAB0
1/22/2020;14:03:53;1/24/2020;Trade;1MM+;100.650;;M;;_;_;-;-;B;D;C;84763LAB0
11/7/2019;09:07:26;11/12/2019;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;84763LAB0
11/7/2019;09:06:46;11/12/2019;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;84763LAB0
11/6/2019;11:47:10;11/8/2019;Trade;1000000;100.600;;M;;_;_;-;-;S;D;C;84763LAB0
11/6/2019;11:46:02;11/8/2019;Trade;1000000;100.500;;M;;_;_;-;-;B;D;C;84763LAB0
11/6/2019;09:24:12;11/8/2019;Trade;250000;100.500;;M;;_;_;-;-;B;D;C;84763LAB0
11/6/2019;09:24:09;11/8/2019;Correction;250000;100.600;;M;;_;_;-;-;S;D;C;84763LAB0
11/6/2019;09:24:09;11/8/2019;Cancel;250000;100.600;;M;;_;_;-;-;B;D;C;84763LAB0
11/5/2019;11:01:24;11/7/2019;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;84763LAB0
11/5/2019;11:00:59;11/7/2019;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;84763LAB0
11/1/2019;10:07:22;11/5/2019;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;84763LAB0
11/1/2019;10:07:22;11/5/2019;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;84763LAB0
11/1/2019;10:07:22;11/5/2019;Trade;1000000;100.600;;M;;_;_;-;-;S;D;C;84763LAB0
10/11/2019;09:33:46;10/16/2019;Correction;400000;100.700;;M;;_;_;-;-;S;D;C;84763LAB0
10/11/2019;09:33:46;10/16/2019;Cancel;600000;100.700;;M;;_;_;-;-;B;;;84763LAB0
10/11/2019;09:33:46;10/16/2019;Cancel;400000;100.700;;M;;_;_;-;-;B;D;C;84763LAB0
10/11/2019;09:33:46;10/16/2019;Correction;600000;100.700;;M;;_;_;-;-;S;D;C;84763LAB0
10/11/2019;09:32:59;10/16/2019;Correction;1000000;100.600;;M;;_;_;-;-;B;D;C;84763LAB0
10/11/2019;09:32:59;10/16/2019;Cancel;1000000;100.600;;M;;_;_;-;-;S;D;C;84763LAB0
10/11/2019;09:25:00;10/16/2019;Trade;1000000;100.600;;;;_;_;-;-;S;;;84763LAB0
4/17/2019;17:00:19;4/22/2019;Trade;500000;99.300;;N;;_;_;-;-;S;D;C;84763LAB0
4/17/2019;17:00:19;4/22/2019;Trade;500000;99.200;;N;;_;_;-;-;B;D;C;84763LAB0
4/17/2019;17:00:19;4/23/2019;Trade;1MM+;99.200;;N;;_;_;-;-;B;D;C;84763LAB0
4/17/2019;17:00:19;4/23/2019;Trade;1000000;99.300;;N;;_;_;-;-;S;D;C;84763LAB0
4/17/2019;17:00:19;4/23/2019;Trade;1000000;99.300;;N;;_;_;-;-;S;D;C;84763LAB0
4/5/2019;09:38:05;4/9/2019;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;84763LAB0
4/5/2019;09:37:35;4/9/2019;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;84763LAB0
4/4/2019;11:15:33;4/8/2019;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;84763LAB0
4/4/2019;11:14:56;4/8/2019;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;84763LAB0
