Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1000000;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1000000;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;250000;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1000000;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
5/12/2020;15:16:00;5/15/2020;Trade;1MM+;100.000;;M;;Z;_;-;A;S;D;C;86944RAA6
