Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/19/2019;10:04:23;11/21/2019;Trade;1MM+;98.800;;M;;_;_;-;-;S;D;C;89141WAA0
11/19/2019;10:03:23;11/21/2019;Trade;1MM+;98.700;;M;;_;_;-;-;B;D;C;89141WAA0
7/18/2019;11:11:25;7/22/2019;Trade;750000;98.750;;M;;_;_;-;-;S;D;C;89141WAA0
7/18/2019;11:09:22;7/22/2019;Trade;750000;98.650;;M;;_;_;-;-;B;D;C;89141WAA0
5/13/2019;10:50:28;5/15/2019;Trade;750000;98.550;;M;;_;_;-;-;B;D;C;89141WAA0
5/13/2019;10:50:00;5/15/2019;Trade;750000;98.650;;M;;_;_;-;-;S;D;C;89141WAA0
5/10/2019;09:00:00;5/14/2019;Trade;1MM+;98.650;;M;;_;_;-;-;B;D;C;89141WAA0
5/10/2019;09:00:00;5/14/2019;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;89141WAA0
5/9/2019;13:22:00;5/13/2019;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;89141WAA0
5/9/2019;10:04:04;5/13/2019;Trade;1MM+;98.650;;M;;_;_;-;-;B;D;C;89141WAA0
4/29/2019;12:27:21;5/1/2019;Trade;1000000;99.000;;M;;_;_;-;-;B;D;C;89141WAA0
4/29/2019;12:27:21;5/1/2019;Trade;1000000;99.100;;M;;_;_;-;-;S;D;C;89141WAA0
4/18/2019;10:19:16;4/23/2019;Trade;1000000;99.200;;M;;_;_;-;-;S;D;C;89141WAA0
4/18/2019;10:18:27;4/23/2019;Trade;1000000;99.100;;M;;_;_;-;-;B;D;C;89141WAA0
3/8/2019;09:51:49;3/12/2019;Correction;375000;98.900;;M;;Z;_;-;-;S;D;C;89141WAA0
3/8/2019;09:51:49;3/12/2019;Cancel;250000;98.900;;M;;_;_;-;-;S;D;C;89141WAA0
3/8/2019;09:50:47;3/12/2019;Cancel;250000;98.800;;M;;_;_;-;-;B;D;C;89141WAA0
3/8/2019;09:50:47;3/12/2019;Correction;375000;98.800;;M;;Z;_;-;-;B;D;C;89141WAA0
12/20/2018;12:43:54;12/24/2018;Trade;325000;98.400;;M;;_;_;-;-;S;D;C;89141WAA0
12/20/2018;12:41:04;12/24/2018;Trade;325000;98.300;;M;;_;_;-;-;B;D;C;89141WAA0
12/12/2018;10:25:59;12/14/2018;Trade;325000;98.900;;M;;_;_;-;-;S;D;C;89141WAA0
12/12/2018;10:20:18;12/14/2018;Trade;325000;98.800;;M;;_;_;-;-;B;D;C;89141WAA0
9/12/2018;08:28:47;9/14/2018;Trade;500000;98.000;;M;;_;_;-;-;S;D;C;89141WAA0
9/12/2018;08:28:07;9/14/2018;Trade;500000;97.750;;M;;_;_;-;-;B;D;C;89141WAA0
8/15/2018;15:14:03;8/17/2018;Trade;350000;84.000;;M;;_;_;-;-;S;D;C;89141WAA0
8/15/2018;13:01:19;8/17/2018;Trade;350000;84.000;;M;;_;_;-;-;B;D;C;89141WAA0
4/6/2018;14:23:16;4/10/2018;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;89141WAA0
4/6/2018;14:22:38;4/10/2018;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;89141WAA0
2/6/2018;09:22:56;2/8/2018;Trade;375000;100.300;;M;;_;_;-;-;S;D;C;89141WAA0
2/6/2018;09:18:52;2/8/2018;Trade;375000;100.200;;M;;_;_;-;-;B;D;C;89141WAA0
1/17/2018;08:32:12;1/19/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;89141WAA0
1/17/2018;08:31:32;1/19/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;89141WAA0
11/21/2017;11:12:22;11/24/2017;Trade;325000;100.000;;M;;_;_;-;-;S;D;C;89141WAA0
11/21/2017;11:11:45;11/24/2017;Trade;325000;99.900;;M;;_;_;-;-;B;D;C;89141WAA0
9/1/2017;12:27:16;9/7/2017;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;89141WAA0
9/1/2017;12:26:33;9/7/2017;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;89141WAA0
9/1/2017;12:23:31;9/7/2017;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;89141WAA0
6/9/2017;11:40:00;6/14/2017;Trade;1MM+;100.100;;;;_;_;-;-;S;D;D;89141WAA0
6/9/2017;11:34:44;6/14/2017;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;89141WAA0
