Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/19/2020;10:30:11;5/21/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;89141WAB8
5/19/2020;10:27:59;5/21/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;89141WAB8
5/12/2020;13:17:42;5/14/2020;Trade;1MM+;99.600;;M;;Z;_;-;-;S;D;C;89141WAB8
5/12/2020;08:50:18;5/14/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;89141WAB8
3/24/2020;12:08:46;3/26/2020;Trade;450000;98.000;;M;;_;_;-;-;B;D;C;89141WAB8
3/24/2020;12:03:17;3/26/2020;Trade;450000;98.100;;M;;_;_;-;-;S;D;C;89141WAB8
2/20/2020;11:57:55;2/24/2020;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;89141WAB8
2/20/2020;11:56:31;2/24/2020;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;89141WAB8
7/2/2019;11:39:04;7/5/2019;Trade;500000;99.400;;M;;_;_;-;-;S;D;C;89141WAB8
7/2/2019;11:38:00;7/5/2019;Trade;500000;99.300;;M;;_;_;-;-;B;D;C;89141WAB8
5/21/2019;11:00:00;5/23/2019;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;89141WAB8
5/21/2019;10:59:19;5/23/2019;Trade;1MM+;98.900;;M;;_;_;-;-;B;D;C;89141WAB8
5/20/2019;12:19:59;5/22/2019;Trade;550000;99.000;;M;;_;_;-;-;S;D;C;89141WAB8
5/20/2019;12:18:52;5/22/2019;Trade;550000;98.900;;M;;_;_;-;-;B;D;C;89141WAB8
3/8/2019;09:58:35;3/12/2019;Correction;250000;99.200;;M;;Z;_;-;-;S;D;C;89141WAB8
3/8/2019;09:58:35;3/12/2019;Cancel;375000;99.200;;M;;_;_;-;-;S;D;C;89141WAB8
3/8/2019;09:57:51;3/12/2019;Cancel;375000;99.100;;M;;_;_;-;-;B;D;C;89141WAB8
3/8/2019;09:57:51;3/12/2019;Correction;250000;99.100;;M;;Z;_;-;-;B;D;C;89141WAB8
12/31/2018;12:48:25;1/3/2019;Trade;1MM+;99.050;;M;;_;_;-;-;S;D;C;89141WAB8
12/31/2018;12:46:36;1/3/2019;Trade;1MM+;98.950;;M;;_;_;-;-;B;D;C;89141WAB8
12/12/2018;10:26:13;12/14/2018;Trade;450000;99.250;;M;;_;_;-;-;S;D;C;89141WAB8
12/12/2018;10:19:55;12/14/2018;Trade;450000;99.150;;M;;_;_;-;-;B;D;C;89141WAB8
11/29/2018;16:44:06;12/3/2018;Trade;650000;100.250;;M;;_;_;-;-;B;D;C;89141WAB8
11/29/2018;16:42:48;12/3/2018;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;89141WAB8
11/29/2018;14:00:34;12/3/2018;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;89141WAB8
11/29/2018;13:59:46;12/3/2018;Cancel;1MM+;100.250;;M;;_;_;-;-;B;D;C;89141WAB8
11/29/2018;13:59:46;12/3/2018;Correction;550000;100.250;;M;;Z;_;-;-;B;D;C;89141WAB8
8/15/2018;15:12:34;8/17/2018;Trade;300000;84.000;;M;;_;_;-;-;S;D;C;89141WAB8
8/15/2018;13:02:01;8/17/2018;Trade;300000;84.000;;M;;_;_;-;-;B;D;C;89141WAB8
7/6/2018;12:47:30;7/10/2018;Trade;1MM+;100.400;;M;;Z;_;-;A;S;D;C;89141WAB8
7/6/2018;12:47:30;7/10/2018;Trade;1MM+;100.400;;M;;Z;_;-;A;S;D;C;89141WAB8
7/6/2018;12:47:30;7/10/2018;Trade;250000;100.400;;M;;U;_;-;A;S;D;C;89141WAB8
7/6/2018;12:47:30;7/10/2018;Trade;250000;100.400;;M;;Z;_;-;A;S;D;C;89141WAB8
7/6/2018;12:47:30;7/10/2018;Trade;750000;100.400;;M;;Z;_;-;A;S;D;C;89141WAB8
