Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/22/2020;14:54:25;4/24/2020;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;89141WAC6
4/22/2020;14:54:25;4/24/2020;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;89141WAC6
3/27/2020;09:56:45;3/31/2020;Trade;875000;99.600;;M;;_;_;-;-;B;D;C;89141WAC6
3/27/2020;09:56:45;3/31/2020;Trade;875000;99.700;;M;;_;_;-;-;S;D;C;89141WAC6
7/29/2019;11:52:34;7/31/2019;Trade;750000;98.900;;M;;_;_;-;-;B;D;C;89141WAC6
7/29/2019;11:51:10;7/31/2019;Trade;750000;99.000;;M;;_;_;-;-;S;D;C;89141WAC6
6/17/2019;14:50:52;6/19/2019;Trade;250000;98.450;;N;;_;_;-;-;B;D;C;89141WAC6
6/17/2019;14:50:52;6/19/2019;Trade;250000;98.550;;N;;_;_;-;-;S;D;C;89141WAC6
5/1/2019;10:05:53;5/3/2019;Trade;400000;98.850;;M;;_;_;-;-;S;D;C;89141WAC6
5/1/2019;10:05:09;5/3/2019;Trade;400000;98.750;;M;;_;_;-;-;B;D;C;89141WAC6
3/8/2019;10:28:35;3/12/2019;Trade;500000;99.950;;M;;_;_;-;-;S;D;C;89141WAC6
3/8/2019;10:28:00;3/12/2019;Trade;500000;99.850;;M;;_;_;-;-;B;D;C;89141WAC6
2/26/2019;11:12:43;2/28/2019;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;89141WAC6
2/26/2019;11:11:43;2/28/2019;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;89141WAC6
2/25/2019;10:27:34;2/27/2019;Trade;400000;100.350;;M;;_;_;-;-;B;D;C;89141WAC6
2/25/2019;10:24:09;2/27/2019;Trade;400000;100.450;;M;;_;_;-;-;S;D;C;89141WAC6
2/22/2019;10:40:16;2/26/2019;Trade;250000;100.450;;M;;_;_;-;-;S;D;C;89141WAC6
2/22/2019;10:38:41;2/26/2019;Trade;250000;100.350;;M;;_;_;-;-;B;D;C;89141WAC6
12/19/2018;15:28:00;12/21/2018;Trade;1MM+;100.500;;N;;_;_;-;-;B;D;C;89141WAC6
12/19/2018;15:28:00;12/21/2018;Trade;1MM+;100.500;;N;;_;_;-;-;B;D;C;89141WAC6
12/19/2018;15:28:00;12/21/2018;Trade;1MM+;100.600;;N;;_;_;-;-;S;D;C;89141WAC6
12/19/2018;15:28:00;12/21/2018;Trade;1MM+;100.600;;N;;_;_;-;-;S;D;C;89141WAC6
12/17/2018;16:57:00;12/19/2018;Trade;250000;99.450;;N;;_;_;-;-;B;D;C;89141WAC6
12/17/2018;16:57:00;12/19/2018;Trade;250000;99.550;;N;;_;_;-;-;S;D;C;89141WAC6
8/15/2018;15:12:20;8/17/2018;Trade;350000;84.000;;M;;_;_;-;-;S;D;C;89141WAC6
8/15/2018;13:02:38;8/17/2018;Trade;350000;84.000;;M;;_;_;-;-;B;D;C;89141WAC6
6/19/2018;08:06:35;6/21/2018;Trade;250000;100.685;;M;;_;_;-;-;S;D;C;89141WAC6
6/19/2018;08:05:30;6/21/2018;Trade;250000;100.635;;M;;_;_;-;-;B;D;C;89141WAC6
5/14/2018;12:32:31;5/16/2018;Trade;250000;100.750;;M;;_;_;-;-;S;D;C;89141WAC6
5/14/2018;12:31:51;5/16/2018;Trade;250000;100.650;;M;;_;_;-;-;B;D;C;89141WAC6
3/13/2018;15:06:56;3/15/2018;Trade;750000;100.350;;M;;_;_;-;-;B;D;C;89141WAC6
3/13/2018;11:11:00;3/15/2018;Trade;750000;100.450;;M;;_;_;-;-;S;D;C;89141WAC6
3/13/2018;11:08:55;3/15/2018;Cancel;750000;100.350;;M;;_;_;-;-;B;D;C;89141WAC6
3/13/2018;11:08:55;3/15/2018;Cancel;750000;100.350;;M;;_;_;-;-;B;D;C;89141WAC6
10/11/2017;15:29:40;10/13/2017;Trade;400000;100.950;;M;;_;_;-;-;S;D;C;89141WAC6
10/11/2017;15:28:11;10/13/2017;Trade;400000;100.850;;M;;_;_;-;-;B;D;C;89141WAC6
6/13/2017;11:09:00;6/16/2017;Trade;250000;100.200;;N;;_;_;-;-;S;D;C;89141WAC6
6/13/2017;10:54:00;6/16/2017;Trade;250000;100.300;;N;;Z;_;-;-;B;D;C;89141WAC6
