Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/27/2018;09:54:01;12/31/2018;Trade;250000;99.700;;M;;_;_;-;-;S;D;C;89289YAB6
12/27/2018;09:53:27;12/31/2018;Trade;250000;99.600;;M;;_;_;-;-;B;D;C;89289YAB6
12/6/2018;13:17:18;12/10/2018;Correction;250000;99.350;;M;;_;_;-;-;S;D;C;89289YAB6
12/6/2018;13:17:18;12/10/2018;Cancel;250000;99.100;;M;;_;_;-;-;S;D;C;89289YAB6
12/6/2018;13:16:30;12/10/2018;Cancel;250000;99.000;;M;;_;_;-;-;B;D;C;89289YAB6
12/6/2018;13:16:30;12/10/2018;Correction;250000;99.250;;M;;_;_;-;-;B;D;C;89289YAB6
11/21/2018;09:09:36;11/26/2018;Trade;250000;100.000;;M;;_;_;-;-;S;D;C;89289YAB6
11/21/2018;09:08:41;11/26/2018;Trade;250000;99.900;;M;;_;_;-;-;B;D;C;89289YAB6
10/31/2018;14:09:30;11/2/2018;Trade;1MM+;100.450;;M;;Z;_;-;-;B;D;C;89289YAB6
10/31/2018;14:06:30;11/2/2018;Trade;1MM+;100.500;;M;;Z;_;-;A;S;D;C;89289YAB6
8/23/2018;11:32:42;8/27/2018;Trade;250000;99.600;;M;;_;_;-;-;S;D;C;89289YAB6
8/23/2018;10:35:24;8/27/2018;Trade;250000;99.500;;M;;_;_;-;-;B;D;C;89289YAB6
8/6/2018;10:10:10;8/8/2018;Trade;400000;99.825;;M;;_;_;-;-;S;D;C;89289YAB6
8/6/2018;10:09:11;8/8/2018;Trade;400000;99.775;;M;;_;_;-;-;B;D;C;89289YAB6
6/11/2018;09:44:52;6/13/2018;Trade;250000;100.125;;M;;_;_;-;-;S;D;C;89289YAB6
6/11/2018;09:44:20;6/13/2018;Trade;250000;100.075;;M;;_;_;-;-;B;D;C;89289YAB6
6/6/2018;09:37:00;6/8/2018;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;89289YAB6
6/6/2018;09:37:00;6/8/2018;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;89289YAB6
6/5/2018;11:27:50;6/7/2018;Trade;1000000;100.100;;M;;_;_;-;-;B;D;C;89289YAB6
6/5/2018;11:11:11;6/7/2018;Trade;1000000;100.200;;M;;_;_;-;-;S;D;C;89289YAB6
6/5/2018;10:19:00;6/7/2018;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;89289YAB6
6/5/2018;10:18:20;6/7/2018;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;89289YAB6
6/5/2018;10:18:09;6/7/2018;Trade;1000000;100.200;;M;;_;_;-;-;S;D;C;89289YAB6
6/5/2018;08:44:48;6/7/2018;Trade;250000;100.165;;M;;_;_;-;-;S;D;C;89289YAB6
6/5/2018;08:44:19;6/7/2018;Trade;250000;100.115;;M;;_;_;-;-;B;D;C;89289YAB6
4/24/2018;12:22:00;4/26/2018;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;89289YAB6
4/24/2018;12:00:00;4/26/2018;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;89289YAB6
3/29/2018;11:46:12;4/3/2018;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;89289YAB6
3/29/2018;11:45:13;4/3/2018;Trade;500000;100.500;;M;;_;_;-;-;S;D;C;89289YAB6
3/29/2018;11:40:54;4/3/2018;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;89289YAB6
2/8/2018;11:17:53;2/12/2018;Trade;250000;100.545;;M;;_;_;-;-;S;D;C;89289YAB6
2/8/2018;11:17:23;2/12/2018;Trade;250000;100.495;;M;;_;_;-;-;B;D;C;89289YAB6
12/21/2017;12:31:46;12/26/2017;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;89289YAB6
12/21/2017;12:31:14;12/26/2017;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;89289YAB6
12/21/2017;12:30:47;12/26/2017;Trade;500000;100.350;;M;;_;_;-;-;S;D;C;89289YAB6
12/21/2017;12:26:53;12/26/2017;Trade;1000000;100.350;;M;;_;_;-;-;S;D;C;89289YAB6
12/21/2017;10:59:27;12/26/2017;Trade;1MM+;100.250;;M;;_;_;-;-;B;D;C;89289YAB6
12/21/2017;10:48:32;12/26/2017;Trade;1MM+;100.350;;M;;_;_;-;-;S;D;C;89289YAB6
