Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
6/18/2020;11:51:49;6/22/2020;Trade;250000;97.100;;M;;_;_;-;-;S;D;C;87403TAA4
6/18/2020;11:51:49;6/22/2020;Trade;250000;97.200;;M;;_;_;-;-;B;D;C;87403TAA4
3/23/2020;12:47:00;3/25/2020;Trade;1MM+;97.750;;M;;_;_;-;-;B;D;C;87403TAA4
3/23/2020;12:47:00;3/25/2020;Trade;1MM+;97.850;;M;;_;_;-;-;S;D;C;87403TAA4
1/22/2020;09:10:01;1/24/2020;Trade;1MM+;100.500;;M;;_;_;-;-;S;D;C;87403TAA4
1/22/2020;09:09:31;1/24/2020;Trade;500000;100.500;;M;;_;_;-;-;S;D;C;87403TAA4
1/22/2020;09:08:35;1/24/2020;Trade;1MM+;100.400;;M;;_;_;-;-;B;D;C;87403TAA4
11/8/2019;10:48:15;11/13/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;87403TAA4
11/8/2019;10:48:15;11/13/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;87403TAA4
11/7/2019;10:41:26;11/12/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;87403TAA4
11/7/2019;10:41:23;11/12/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;87403TAA4
9/26/2019;09:16:11;9/30/2019;Trade;500000;101.000;;M;;_;_;-;-;S;D;C;87403TAA4
9/26/2019;09:15:42;9/30/2019;Trade;500000;100.900;;M;;_;_;-;-;B;D;C;87403TAA4
7/18/2019;10:53:12;7/22/2019;Trade;500000;99.250;;M;;_;_;-;-;S;D;C;87403TAA4
7/18/2019;10:52:25;7/22/2019;Trade;500000;99.150;;M;;_;_;-;-;B;D;C;87403TAA4
7/10/2019;15:30:04;7/12/2019;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;87403TAA4
7/10/2019;15:24:45;7/12/2019;Trade;250000;99.250;;M;;_;_;-;-;S;D;C;87403TAA4
7/10/2019;15:24:00;7/12/2019;Trade;500000;99.150;;M;;_;_;-;-;B;D;C;87403TAA4
5/8/2019;11:13:02;5/10/2019;Trade;250000;99.100;;M;;_;_;-;-;B;D;C;87403TAA4
5/8/2019;10:01:42;5/10/2019;Trade;250000;99.200;;M;;_;_;-;-;S;D;C;87403TAA4
5/7/2019;14:39:57;5/9/2019;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;87403TAA4
5/7/2019;14:38:27;5/9/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;87403TAA4
4/2/2019;10:13:31;4/4/2019;Trade;500000;100.000;;M;;_;_;-;-;B;D;C;87403TAA4
4/2/2019;10:13:26;4/4/2019;Trade;500000;100.100;;M;;_;_;-;-;S;D;C;87403TAA4
1/14/2019;11:53:33;1/16/2019;Trade;300000;100.650;;M;;_;_;-;-;B;D;C;87403TAA4
1/14/2019;11:53:33;1/16/2019;Trade;300000;100.750;;M;;_;_;-;-;S;D;C;87403TAA4
10/18/2018;13:24:23;10/22/2018;Trade;1000000;101.800;;M;;_;_;-;-;S;D;C;87403TAA4
10/18/2018;13:22:05;10/22/2018;Trade;1000000;101.700;;M;;_;_;-;-;B;D;C;87403TAA4
10/15/2018;11:45:40;10/17/2018;Trade;1MM+;101.800;;M;;_;_;-;-;S;D;C;87403TAA4
10/15/2018;11:45:36;10/17/2018;Trade;1MM+;101.700;;M;;_;_;-;-;B;D;C;87403TAA4
10/2/2018;14:21:46;10/4/2018;Trade;1000000;101.700;;M;;_;_;-;-;S;D;C;87403TAA4
10/2/2018;14:20:57;10/4/2018;Trade;1000000;101.600;;M;;_;_;-;-;B;D;C;87403TAA4
8/6/2018;12:11:20;8/8/2018;Trade;1MM+;102.400;;M;;_;_;-;-;S;D;C;87403TAA4
8/6/2018;12:10:18;8/8/2018;Trade;1MM+;102.300;;M;;_;_;-;-;B;D;C;87403TAA4
8/6/2018;11:36:31;8/8/2018;Trade;1MM+;102.400;;M;;_;_;-;-;S;D;C;87403TAA4
8/6/2018;11:35:38;8/8/2018;Trade;1MM+;102.300;;M;;_;_;-;-;B;D;C;87403TAA4
7/19/2018;10:42:25;7/23/2018;Trade;250000;102.400;;M;;_;_;-;-;S;D;C;87403TAA4
7/19/2018;10:42:10;7/23/2018;Trade;250000;102.300;;M;;_;_;-;-;B;D;C;87403TAA4
7/5/2018;09:11:31;7/9/2018;Trade;1MM+;102.400;;M;;_;_;-;-;S;D;C;87403TAA4
7/5/2018;09:10:59;7/9/2018;Trade;1MM+;102.300;;M;;_;_;-;-;B;D;C;87403TAA4
7/2/2018;11:49:00;7/5/2018;Trade;250000;102.300;;M;;_;_;-;-;B;D;C;87403TAA4
7/2/2018;11:48:02;7/5/2018;Cancel;250000;102.300;;M;;Z;_;-;-;B;D;C;87403TAA4
7/2/2018;11:48:02;7/5/2018;Cancel;250000;102.300;;M;;Z;_;-;-;B;D;C;87403TAA4
7/2/2018;11:47:20;7/5/2018;Trade;250000;102.400;;M;;_;_;-;-;S;D;C;87403TAA4
6/29/2018;10:07:01;7/3/2018;Trade;1MM+;102.150;;M;;_;_;-;-;B;D;C;87403TAA4
