Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/11/2020;11:38:40;5/13/2020;Trade;1000000;97.850;;M;;_;_;-;-;S;D;C;87403TAB2
5/11/2020;11:29:55;5/13/2020;Trade;1000000;97.750;;M;;_;_;-;-;B;D;C;87403TAB2
3/19/2020;12:50:41;3/23/2020;Trade;1MM+;96.650;;M;;_;_;-;-;B;D;C;87403TAB2
3/19/2020;12:44:20;3/23/2020;Trade;1MM+;96.750;;M;;_;_;-;-;S;D;C;87403TAB2
3/19/2020;11:34:23;3/23/2020;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;87403TAB2
3/19/2020;11:33:36;3/23/2020;Trade;1MM+;97.020;;M;;_;_;-;-;B;D;C;87403TAB2
3/19/2020;11:32:46;3/23/2020;Trade;1MM+;97.090;;M;;_;_;-;-;S;D;C;87403TAB2
2/6/2020;11:35:47;2/10/2020;Trade;1MM+;101.450;;M;;_;_;-;-;S;D;C;87403TAB2
2/6/2020;11:10:43;2/10/2020;Trade;1MM+;101.350;;M;;_;_;-;-;B;D;C;87403TAB2
1/30/2020;11:26:40;2/3/2020;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;87403TAB2
1/30/2020;11:25:40;2/3/2020;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;87403TAB2
1/30/2020;11:08:53;2/3/2020;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;87403TAB2
1/30/2020;11:07:13;2/3/2020;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;87403TAB2
1/28/2020;11:46:17;1/30/2020;Trade;1MM+;101.450;;M;;_;_;-;-;S;D;C;87403TAB2
1/28/2020;11:44:08;1/30/2020;Trade;1MM+;101.350;;M;;_;_;-;-;B;D;C;87403TAB2
1/13/2020;12:08:17;1/15/2020;Trade;500000;101.250;;M;;_;_;-;-;S;D;C;87403TAB2
1/13/2020;12:07:30;1/15/2020;Trade;500000;101.150;;M;;_;_;-;-;B;D;C;87403TAB2
1/9/2020;09:50:58;1/13/2020;Trade;1000000;101.250;;M;;_;_;-;-;S;D;C;87403TAB2
1/9/2020;09:50:26;1/13/2020;Trade;1000000;101.150;;M;;_;_;-;-;B;D;C;87403TAB2
12/18/2019;13:17:23;12/20/2019;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;87403TAB2
12/18/2019;13:17:21;12/20/2019;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;87403TAB2
12/12/2019;14:17:50;12/16/2019;Trade;1MM+;100.700;;M;;_;_;-;-;B;D;C;87403TAB2
12/12/2019;11:37:58;12/16/2019;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;87403TAB2
12/12/2019;11:37:58;12/16/2019;Trade;500000;100.800;;M;;_;_;-;-;S;D;C;87403TAB2
