Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/16/2020;09:59:45;7/20/2020;Trade;1MM+;98.600;;M;;_;_;-;-;S;D;C;87403TAC0
7/16/2020;09:59:06;7/20/2020;Trade;1MM+;98.500;;M;;_;_;-;-;B;D;C;87403TAC0
7/16/2020;09:10:34;7/20/2020;Trade;500000;98.600;;M;;_;_;-;-;S;D;C;87403TAC0
7/16/2020;09:09:57;7/20/2020;Trade;500000;98.500;;M;;_;_;-;-;B;D;C;87403TAC0
7/15/2020;09:43:03;7/17/2020;Trade;1MM+;98.600;;M;;_;_;-;-;S;D;C;87403TAC0
7/15/2020;09:41:45;7/17/2020;Trade;1MM+;98.500;;M;;_;_;-;-;B;D;C;87403TAC0
6/26/2020;08:03:58;6/30/2020;Trade;1MM+;96.900;;M;;_;_;-;-;B;D;C;87403TAC0
6/26/2020;08:03:32;6/30/2020;Trade;1MM+;97.000;;M;;_;_;-;-;S;D;C;87403TAC0
6/25/2020;10:44:33;6/29/2020;Trade;1000000;97.000;;M;;_;_;-;-;S;D;C;87403TAC0
6/25/2020;10:44:02;6/29/2020;Trade;1000000;96.900;;M;;_;_;-;-;B;D;C;87403TAC0
5/11/2020;10:18:27;5/13/2020;Trade;1000000;98.300;;M;;_;_;-;-;S;D;C;87403TAC0
5/11/2020;10:17:45;5/13/2020;Trade;1000000;98.200;;M;;_;_;-;-;B;D;C;87403TAC0
4/16/2020;10:57:05;4/20/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;87403TAC0
4/16/2020;10:56:14;4/20/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;87403TAC0
4/1/2020;13:18:38;4/3/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;87403TAC0
4/1/2020;13:17:59;4/3/2020;Trade;563000;98.400;;M;;_;_;-;-;B;D;C;87403TAC0
4/1/2020;13:16:18;4/3/2020;Trade;1000000;98.400;;M;;_;_;-;-;B;D;C;87403TAC0
4/1/2020;08:41:17;4/3/2020;Trade;1000000;98.500;;M;;_;_;-;-;S;D;C;87403TAC0
4/1/2020;08:40:36;4/3/2020;Trade;500000;98.400;;M;;_;_;-;-;B;D;C;87403TAC0
4/1/2020;08:39:58;4/3/2020;Trade;500000;98.400;;M;;_;_;-;-;B;D;C;87403TAC0
3/26/2020;14:23:21;3/30/2020;Trade;1000000;97.750;;M;;_;_;-;-;S;D;C;87403TAC0
3/26/2020;14:21:13;3/30/2020;Trade;1000000;97.700;;M;;_;_;-;-;B;D;C;87403TAC0
3/13/2020;11:36:45;3/17/2020;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;87403TAC0
3/13/2020;11:36:45;3/17/2020;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;87403TAC0
2/26/2020;09:56:54;2/28/2020;Cancel;250000;101.150;;M;;_;_;-;-;B;D;C;87403TAC0
2/26/2020;09:56:54;2/28/2020;Cancel;250000;101.150;;M;;_;_;-;-;S;D;C;87403TAC0
2/26/2020;09:56:54;2/28/2020;Cancel;250000;101.150;;M;;_;_;-;-;B;D;C;87403TAC0
2/26/2020;09:56:52;2/28/2020;Correction;250000;101.150;;M;;_;_;-;-;B;D;C;87403TAC0
2/26/2020;09:56:52;2/28/2020;Cancel;250000;101.150;;M;;_;_;-;-;S;D;C;87403TAC0
2/26/2020;09:54:49;2/28/2020;Cancel;250000;99.600;;M;;_;_;-;-;S;D;C;87403TAC0
2/26/2020;09:54:49;2/28/2020;Cancel;250000;99.600;;M;;_;_;-;-;S;D;C;87403TAC0
2/26/2020;09:32:58;2/28/2020;Trade;250000;101.250;;M;;Z;_;-;-;S;D;C;87403TAC0
1/21/2020;11:01:53;1/23/2020;Trade;750000;101.300;;M;;_;_;-;-;S;D;C;87403TAC0
1/21/2020;11:01:01;1/23/2020;Trade;750000;101.200;;M;;_;_;-;-;B;D;C;87403TAC0
8/2/2019;12:47:40;8/6/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;87403TAC0
8/2/2019;12:46:41;8/6/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;87403TAC0
7/24/2019;10:54:24;7/26/2019;Trade;500000;99.200;;M;;_;_;-;-;S;D;C;87403TAC0
7/24/2019;10:52:46;7/26/2019;Trade;500000;99.100;;M;;_;_;-;-;B;D;C;87403TAC0
7/10/2019;11:33:19;7/12/2019;Trade;1MM+;98.600;;M;;_;_;-;-;S;D;C;87403TAC0
7/10/2019;11:32:36;7/12/2019;Trade;1MM+;98.500;;M;;_;_;-;-;B;D;C;87403TAC0
3/8/2019;09:54:56;3/12/2019;Trade;250000;100.250;;M;;_;_;-;-;B;D;C;87403TAC0
3/8/2019;09:54:53;3/12/2019;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;87403TAC0
3/6/2019;11:29:51;3/8/2019;Trade;250000;100.350;;M;;_;_;-;-;S;D;C;87403TAC0
3/6/2019;11:29:48;3/8/2019;Trade;250000;100.250;;M;;_;_;-;-;B;D;C;87403TAC0
1/10/2019;16:08:01;1/14/2019;Trade;750000;101.000;;M;;_;_;-;-;B;D;C;87403TAC0
1/10/2019;16:07:36;1/14/2019;Trade;250000;101.000;;M;;_;_;-;-;B;D;C;87403TAC0
1/10/2019;16:07:15;1/14/2019;Trade;900000;101.000;;M;;_;_;-;-;B;D;C;87403TAC0
1/10/2019;16:05:00;1/14/2019;Trade;300000;101.000;;M;;_;_;-;-;B;D;C;87403TAC0
1/10/2019;12:05:06;1/14/2019;Cancel;1MM+;101.000;;M;;_;_;-;-;B;D;C;87403TAC0
1/10/2019;12:05:06;1/14/2019;Cancel;1MM+;101.000;;M;;_;_;-;-;B;D;C;87403TAC0
1/10/2019;12:03:50;1/14/2019;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;87403TAC0
12/20/2018;08:04:26;12/24/2018;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;87403TAC0
12/20/2018;08:03:59;12/24/2018;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;87403TAC0
12/19/2018;13:57:25;12/21/2018;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;87403TAC0
12/19/2018;13:56:41;12/21/2018;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;87403TAC0
12/18/2018;10:16:48;12/20/2018;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;87403TAC0
12/18/2018;10:16:05;12/20/2018;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;87403TAC0
11/8/2018;11:19:56;11/13/2018;Trade;550000;103.000;;M;;_;_;-;-;S;D;C;87403TAC0
11/8/2018;11:17:49;11/13/2018;Trade;550000;102.900;;M;;_;_;-;-;B;D;C;87403TAC0
6/6/2018;14:58:21;6/8/2018;Trade;1MM+;103.250;;M;;_;_;-;-;S;D;C;87403TAC0
6/6/2018;14:55:11;6/8/2018;Trade;1MM+;103.150;;M;;_;_;-;-;B;D;C;87403TAC0
6/5/2018;08:46:13;6/7/2018;Trade;250000;101.155;;M;;_;_;-;-;S;D;C;87403TAC0
6/5/2018;08:45:38;6/7/2018;Trade;250000;101.105;;M;;_;_;-;-;B;D;C;87403TAC0
3/20/2018;15:48:00;3/22/2018;Cancel;750000;101.900;;N;;_;_;-;-;S;D;C;87403TAC0
3/20/2018;15:48:00;3/22/2018;Cancel;750000;101.900;;N;;_;_;-;-;S;D;C;87403TAC0
3/20/2018;15:37:00;3/22/2018;Trade;750000;101.800;;N;;_;_;-;-;B;D;C;87403TAC0
