Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
8/28/2018;10:26:09;8/30/2018;Trade;1MM+;100.000;;M;;_;_;-;-;S;D;C;90323WAC4
8/28/2018;10:25:23;8/30/2018;Trade;1MM+;99.950;;M;;_;_;-;-;B;D;C;90323WAC4
6/27/2018;13:20:22;6/29/2018;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;90323WAC4
6/27/2018;13:19:49;6/29/2018;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;90323WAC4
6/26/2018;10:07:59;6/28/2018;Trade;450000;100.075;;M;;_;_;-;-;S;D;C;90323WAC4
6/26/2018;10:07:22;6/28/2018;Trade;450000;100.025;;M;;_;_;-;-;B;D;C;90323WAC4
6/19/2018;13:30:00;6/21/2018;Trade;1MM+;100.050;;M;;_;_;-;-;S;D;C;90323WAC4
6/19/2018;12:57:44;6/21/2018;Cancel;1MM+;100.050;;M;;_;_;-;-;S;D;C;90323WAC4
6/19/2018;12:57:44;6/21/2018;Cancel;1MM+;100.050;;M;;_;_;-;-;S;D;C;90323WAC4
6/19/2018;12:53:53;6/21/2018;Correction;1MM+;100.000;;M;;Z;_;-;-;B;D;C;90323WAC4
6/19/2018;12:53:53;6/21/2018;Cancel;1MM+;100.000;;M;;_;_;-;-;B;D;C;90323WAC4
6/5/2018;08:42:53;6/7/2018;Trade;250000;100.125;;M;;_;_;-;-;S;D;C;90323WAC4
6/5/2018;08:42:12;6/7/2018;Trade;250000;100.075;;M;;_;_;-;-;B;D;C;90323WAC4
5/31/2018;10:06:46;6/4/2018;Trade;1000000;100.100;;M;;Z;_;-;-;S;D;C;90323WAC4
5/31/2018;10:06:33;6/4/2018;Trade;1000000;100.050;;M;;Z;_;-;-;B;D;C;90323WAC4
5/25/2018;09:23:58;5/30/2018;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;90323WAC4
5/25/2018;09:23:21;5/30/2018;Trade;1MM+;100.040;;M;;_;_;-;-;B;D;C;90323WAC4
5/24/2018;12:40:33;5/29/2018;Trade;1000000;100.080;;M;;_;_;-;-;B;D;C;90323WAC4
5/24/2018;12:39:53;5/29/2018;Trade;250000;100.080;;M;;_;_;-;-;B;D;C;90323WAC4
5/24/2018;12:15:00;5/29/2018;Trade;1MM+;100.130;;M;;_;_;-;-;S;D;C;90323WAC4
