Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/21/2019;12:32:10;11/25/2019;Trade;1000000;99.750;;M;;_;_;-;-;S;D;C;90323WAD2
11/21/2019;12:30:53;11/25/2019;Trade;1000000;99.700;;M;;_;_;-;-;B;D;C;90323WAD2
11/19/2019;09:17:52;11/21/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;90323WAD2
11/19/2019;09:17:05;11/21/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;90323WAD2
11/7/2019;11:29:37;11/12/2019;Trade;1MM+;99.650;;M;;_;_;-;-;S;D;C;90323WAD2
11/7/2019;11:28:54;11/12/2019;Trade;1MM+;99.550;;M;;_;_;-;-;B;D;C;90323WAD2
10/10/2019;14:47:09;10/16/2019;Trade;1MM+;99.580;;M;;_;_;-;-;S;D;C;90323WAD2
10/10/2019;14:46:30;10/16/2019;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;90323WAD2
10/8/2019;09:07:17;10/10/2019;Trade;1MM+;99.680;;M;;_;_;-;-;S;D;C;90323WAD2
10/8/2019;09:06:29;10/10/2019;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;90323WAD2
10/7/2019;09:58:34;10/9/2019;Trade;1MM+;99.680;;M;;_;_;-;-;S;D;C;90323WAD2
10/7/2019;09:57:48;10/9/2019;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;90323WAD2
10/7/2019;09:26:26;10/9/2019;Trade;1000000;99.700;;M;;_;_;-;-;S;;;90323WAD2
10/7/2019;09:24:32;10/9/2019;Trade;1000000;99.600;;M;;_;_;-;-;B;;;90323WAD2
9/4/2019;13:02:17;9/6/2019;Trade;1MM+;99.050;;M;;_;_;-;-;B;D;C;90323WAD2
9/4/2019;13:02:17;9/6/2019;Trade;1MM+;99.050;;M;;_;_;-;-;B;D;C;90323WAD2
9/4/2019;12:50:25;9/6/2019;Trade;1MM+;99.150;;M;;_;_;-;-;S;D;C;90323WAD2
8/28/2019;10:01:40;8/30/2019;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;90323WAD2
8/28/2019;09:59:44;8/30/2019;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;90323WAD2
8/27/2019;11:22:22;8/29/2019;Trade;1000000;99.600;;M;;_;_;-;-;S;D;C;90323WAD2
8/27/2019;11:21:45;8/29/2019;Trade;1000000;99.500;;M;;_;_;-;-;B;D;C;90323WAD2
8/27/2019;09:12:31;8/29/2019;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;90323WAD2
8/27/2019;09:11:36;8/29/2019;Trade;500000;99.600;;M;;_;_;-;-;S;D;C;90323WAD2
8/27/2019;09:10:49;8/29/2019;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;90323WAD2
8/19/2019;13:19:15;8/21/2019;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;90323WAD2
8/19/2019;13:18:16;8/21/2019;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;90323WAD2
8/15/2019;11:33:16;8/19/2019;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;90323WAD2
8/15/2019;11:32:42;8/19/2019;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;90323WAD2
8/14/2019;09:24:36;8/16/2019;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;90323WAD2
8/14/2019;09:23:54;8/16/2019;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;90323WAD2
8/13/2019;10:09:11;8/15/2019;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;90323WAD2
8/13/2019;10:08:09;8/15/2019;Trade;1MM+;99.450;;M;;_;_;-;-;S;D;C;90323WAD2
8/13/2019;10:07:16;8/15/2019;Trade;1MM+;99.350;;M;;_;_;-;-;B;D;C;90323WAD2
7/8/2019;08:40:13;7/10/2019;Trade;250000;96.250;;M;;_;_;-;-;S;D;C;90323WAD2
7/8/2019;08:39:48;7/10/2019;Trade;250000;96.150;;M;;_;_;-;-;B;D;C;90323WAD2
5/31/2019;18:41:15;6/4/2019;Trade;750000;98.700;;M;;_;_;-;A;S;D;C;90323WAD2
5/31/2019;18:12:14;6/4/2019;Trade;1MM+;98.700;;M;;Z;_;-;A;S;D;C;90323WAD2
5/31/2019;16:10:42;6/4/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;15:23:42;6/4/2019;Cancel;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;15:23:42;6/4/2019;Cancel;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;15:23:27;6/4/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;15:20:08;6/4/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;11:41:50;6/4/2019;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;90323WAD2
5/31/2019;11:41:15;6/4/2019;Cancel;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;11:41:15;6/4/2019;Cancel;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;11:40:08;6/4/2019;Cancel;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;11:40:08;6/4/2019;Cancel;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/31/2019;08:12:28;6/4/2019;Trade;1MM+;98.700;;M;;Z;_;-;A;S;D;C;90323WAD2
5/31/2019;08:11:58;6/4/2019;Trade;1MM+;98.700;;M;;Z;_;-;A;S;D;C;90323WAD2
5/13/2019;11:34:21;5/15/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
5/13/2019;11:33:54;5/15/2019;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;90323WAD2
4/25/2019;08:11:09;4/29/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
4/25/2019;08:10:25;4/29/2019;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;90323WAD2
4/16/2019;10:23:29;4/18/2019;Trade;1MM+;98.700;;M;;_;_;-;-;S;D;C;90323WAD2
4/16/2019;10:20:49;4/18/2019;Trade;1MM+;98.600;;M;;_;_;-;-;B;D;C;90323WAD2
3/25/2019;12:25:00;3/27/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;90323WAD2
3/25/2019;12:24:18;3/27/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;90323WAD2
3/22/2019;10:50:40;3/26/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;90323WAD2
3/22/2019;10:50:02;3/26/2019;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;90323WAD2
3/4/2019;09:56:25;3/6/2019;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;90323WAD2
3/4/2019;09:55:49;3/6/2019;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;90323WAD2
2/8/2019;10:51:39;2/12/2019;Trade;600000;99.600;;M;;_;_;-;-;S;D;C;90323WAD2
2/8/2019;10:51:00;2/12/2019;Trade;600000;99.500;;M;;_;_;-;-;B;D;C;90323WAD2
2/6/2019;08:47:05;2/8/2019;Trade;750000;99.600;;M;;_;_;-;-;S;D;C;90323WAD2
2/6/2019;08:41:25;2/8/2019;Trade;750000;99.500;;M;;_;_;-;-;B;D;C;90323WAD2
2/5/2019;09:39:08;2/7/2019;Trade;500000;99.600;;M;;_;_;-;-;S;D;C;90323WAD2
2/5/2019;09:38:23;2/7/2019;Trade;500000;99.500;;M;;_;_;-;-;B;D;C;90323WAD2
