Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/3/2020;11:12:18;4/7/2020;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;90323WAE0
4/3/2020;11:12:18;4/7/2020;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;90323WAE0
3/23/2020;09:10:00;3/25/2020;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;90323WAE0
3/23/2020;09:10:00;3/25/2020;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;90323WAE0
3/20/2020;13:52:05;3/24/2020;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;90323WAE0
3/20/2020;13:51:12;3/24/2020;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;90323WAE0
2/3/2020;09:22:05;2/5/2020;Trade;1MM+;99.300;;M;;_;_;-;-;S;D;C;90323WAE0
2/3/2020;09:21:15;2/5/2020;Trade;1MM+;99.200;;M;;_;_;-;-;B;D;C;90323WAE0
1/8/2020;10:14:00;1/10/2020;Trade;1MM+;99.050;;M;;_;_;-;-;S;D;C;90323WAE0
1/8/2020;10:14:00;1/10/2020;Trade;1MM+;98.950;;M;;_;_;-;-;B;D;C;90323WAE0
11/18/2019;14:32:58;11/20/2019;Trade;1000000;98.750;;M;;_;_;-;-;S;D;C;90323WAE0
11/18/2019;14:31:09;11/20/2019;Trade;1000000;98.650;;M;;_;_;-;-;B;D;C;90323WAE0
9/3/2019;12:49:48;9/5/2019;Trade;500000;99.150;;M;;_;_;-;-;B;D;C;90323WAE0
9/3/2019;12:48:16;9/5/2019;Trade;500000;99.250;;M;;_;_;-;-;S;D;C;90323WAE0
8/29/2019;15:56:03;9/3/2019;Trade;1MM+;99.150;;M;;_;_;-;-;B;D;C;90323WAE0
8/29/2019;15:56:03;9/3/2019;Trade;250000;99.150;;M;;Z;_;-;A;B;D;C;90323WAE0
8/29/2019;15:54:03;9/3/2019;Trade;1MM+;99.250;;M;;_;_;-;-;S;D;C;90323WAE0
4/30/2019;10:33:06;5/2/2019;Trade;1MM+;99.050;;M;;_;_;-;-;S;D;C;90323WAE0
4/30/2019;10:28:46;5/2/2019;Trade;1MM+;98.950;;M;;_;_;-;-;B;D;C;90323WAE0
4/3/2019;14:39:13;4/5/2019;Trade;500000;99.000;;M;;_;_;-;-;B;D;C;90323WAE0
4/3/2019;14:38:15;4/5/2019;Trade;500000;99.100;;M;;_;_;-;-;S;D;C;90323WAE0
3/26/2019;11:23:00;3/28/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;90323WAE0
3/26/2019;11:22:11;3/28/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;90323WAE0
3/26/2019;11:21:57;3/28/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;90323WAE0
3/26/2019;11:21:41;3/28/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;90323WAE0
3/26/2019;11:21:34;3/28/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;90323WAE0
3/21/2019;11:04:00;3/25/2019;Trade;1MM+;99.150;;M;;_;_;-;-;S;D;C;90323WAE0
