Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/15/2020;16:12:11;5/19/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;90323WAF7
5/15/2020;14:08:03;5/19/2020;Trade;1MM+;99.500;;M;;Z;_;-;A;S;D;C;90323WAF7
5/15/2020;14:08:03;5/19/2020;Trade;1MM+;99.500;;M;;Z;_;-;A;S;D;C;90323WAF7
5/15/2020;14:08:03;5/19/2020;Trade;251000;99.500;;M;;Z;_;-;A;S;D;C;90323WAF7
5/15/2020;14:08:03;5/19/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;1MM+;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;1MM+;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;500000;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;500000;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;1MM+;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;1MM+;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;900000;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;1000000;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;14:06:13;5/19/2020;Trade;500000;99.400;;M;;Z;_;-;A;B;D;C;90323WAF7
5/15/2020;10:21:25;5/19/2020;Trade;1000000;99.500;;M;;Z;_;-;A;S;D;C;90323WAF7
5/15/2020;10:21:25;5/19/2020;Trade;1MM+;99.500;;M;;Z;_;-;A;S;D;C;90323WAF7
5/15/2020;04:06:13;5/19/2020;Trade;1MM+;99.400;;M;;Z;_;-;-;B;D;C;90323WAF7
4/29/2020;08:22:31;5/1/2020;Trade;250000;98.850;;M;;_;_;-;-;S;D;C;90323WAF7
4/29/2020;08:22:28;5/1/2020;Trade;250000;98.750;;M;;_;_;-;-;B;D;C;90323WAF7
3/23/2020;11:17:12;3/25/2020;Trade;1MM+;98.550;;M;;_;_;-;-;B;D;C;90323WAF7
