Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/26/2020;10:14:06;3/30/2020;Trade;1MM+;98.100;;M;;_;_;-;-;S;D;C;90323WAG5
3/26/2020;10:14:05;3/30/2020;Trade;1MM+;98.000;;M;;_;_;-;-;B;D;C;90323WAG5
3/24/2020;15:00:03;3/26/2020;Trade;1000000;98.000;;M;;_;_;-;-;S;D;C;90323WAG5
3/24/2020;14:49:31;3/26/2020;Trade;1000000;97.900;;M;;_;_;-;-;B;D;C;90323WAG5
3/24/2020;14:22:50;3/26/2020;Trade;1MM+;97.980;;M;;_;_;-;-;S;D;C;90323WAG5
3/24/2020;14:22:12;3/26/2020;Trade;1MM+;97.910;;M;;_;_;-;-;B;D;C;90323WAG5
3/24/2020;12:00:31;3/26/2020;Trade;880000;98.000;;M;;_;_;-;-;S;D;C;90323WAG5
3/24/2020;11:54:24;3/26/2020;Trade;880000;97.900;;M;;_;_;-;-;B;D;C;90323WAG5
2/26/2020;10:02:10;2/28/2020;Trade;250000;99.600;;M;;_;_;-;-;S;D;C;90323WAG5
2/26/2020;09:45:45;2/28/2020;Trade;250000;99.500;;M;;_;_;-;-;B;D;C;90323WAG5
1/23/2020;09:35:36;1/27/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;90323WAG5
1/23/2020;09:35:06;1/27/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;;;90323WAG5
1/23/2020;09:32:56;1/27/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;;;90323WAG5
1/22/2020;10:39:18;1/24/2020;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;90323WAG5
1/22/2020;10:38:15;1/24/2020;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;90323WAG5
1/21/2020;11:06:11;1/23/2020;Trade;600000;99.500;;M;;_;_;-;-;S;D;C;90323WAG5
1/21/2020;11:04:51;1/23/2020;Trade;600000;99.400;;M;;_;_;-;-;B;D;C;90323WAG5
12/18/2019;09:19:40;12/20/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;90323WAG5
12/18/2019;09:19:01;12/20/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;90323WAG5
9/27/2019;11:20:38;10/1/2019;Trade;1000000;99.400;;M;;_;_;-;-;S;D;C;90323WAG5
9/27/2019;11:20:13;10/1/2019;Trade;1000000;99.300;;M;;_;_;-;-;B;D;C;90323WAG5
4/17/2019;11:58:51;4/22/2019;Trade;1MM+;99.000;;M;;_;_;-;-;B;D;C;90323WAG5
4/17/2019;11:58:22;4/22/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;90323WAG5
4/17/2019;11:57:56;4/22/2019;Trade;1MM+;99.100;;M;;_;_;-;-;S;D;C;90323WAG5
4/5/2019;16:37:24;4/9/2019;Trade;818000;99.100;;N;;_;_;-;-;S;D;C;90323WAG5
4/5/2019;16:37:24;4/9/2019;Trade;818000;99.100;;N;;_;_;-;-;B;D;C;90323WAG5
4/4/2019;15:28:27;4/8/2019;Trade;1000000;99.100;;N;;_;_;-;-;S;D;C;90323WAG5
4/4/2019;15:28:27;4/8/2019;Trade;1000000;99.000;;N;;_;_;-;-;B;D;C;90323WAG5
