Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/3/2020;10:54:00;4/7/2020;Trade;400000;98.050;;M;;_;_;-;-;B;D;C;90323WAH3
4/3/2020;10:54:00;4/7/2020;Trade;400000;98.100;;M;;_;_;-;-;S;D;C;90323WAH3
3/24/2020;14:32:22;3/26/2020;Trade;1MM+;97.180;;M;;_;_;-;-;S;D;C;90323WAH3
3/24/2020;14:31:44;3/26/2020;Trade;1MM+;97.110;;M;;_;_;-;-;B;D;C;90323WAH3
3/24/2020;12:15:42;3/26/2020;Trade;1MM+;97.200;;M;;_;_;-;-;S;D;C;90323WAH3
3/24/2020;12:14:21;3/26/2020;Trade;1MM+;97.100;;M;;_;_;-;-;B;D;C;90323WAH3
3/19/2020;17:18:57;3/23/2020;Cancel;1MM+;97.100;;M;;T;_;-;-;S;D;C;90323WAH3
3/19/2020;17:18:57;3/23/2020;Correction;1MM+;95.100;;M;;Z;_;-;A;S;D;C;90323WAH3
3/19/2020;17:18:57;3/23/2020;Trade;1MM+;97.100;;M;;Z;_;-;A;S;D;C;90323WAH3
3/19/2020;17:18:57;3/23/2020;Trade;1MM+;97.100;;M;;Z;_;-;A;S;D;C;90323WAH3
3/19/2020;17:17:17;3/23/2020;Trade;1MM+;97.050;;M;;T;_;-;-;B;D;C;90323WAH3
3/10/2020;11:54:18;3/12/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;;;90323WAH3
3/10/2020;11:47:49;3/12/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;90323WAH3
3/10/2020;11:44:08;3/12/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;90323WAH3
3/10/2020;11:05:36;3/12/2020;Trade;1000000;99.600;;M;;_;_;-;-;S;D;C;90323WAH3
3/5/2020;12:59:12;3/9/2020;Trade;375000;99.200;;M;;_;_;-;-;S;D;C;90323WAH3
3/5/2020;12:21:50;3/9/2020;Cancel;375000;99.100;;M;;_;_;-;-;S;D;C;90323WAH3
3/5/2020;12:21:50;3/9/2020;Correction;375000;99.100;;M;;Z;_;-;-;B;D;C;90323WAH3
1/15/2020;09:50:24;1/17/2020;Trade;1MM+;99.000;;M;;_;_;-;-;S;D;C;90323WAH3
1/15/2020;09:29:23;1/17/2020;Trade;1MM+;98.900;;M;;Z;_;-;-;B;D;C;90323WAH3
1/13/2020;10:27:00;1/15/2020;Trade;500000;99.100;;M;;_;_;-;-;B;D;C;90323WAH3
1/13/2020;10:27:00;1/15/2020;Cancel;500000;99.100;;M;;_;_;-;-;S;D;C;90323WAH3
1/13/2020;10:27:00;1/15/2020;Correction;500000;99.200;;M;;_;_;-;-;S;D;C;90323WAH3
12/13/2019;08:42:58;12/17/2019;Trade;250000;99.100;;M;;_;_;-;-;S;D;C;90323WAH3
12/13/2019;08:36:20;12/17/2019;Cancel;250000;99.000;;M;;_;_;-;-;S;D;C;90323WAH3
12/13/2019;08:36:20;12/17/2019;Correction;250000;99.000;;M;;Z;_;-;-;B;D;C;90323WAH3
8/30/2019;10:09:04;9/4/2019;Trade;1000000;98.500;;M;;_;_;-;-;B;D;C;90323WAH3
8/30/2019;10:01:39;9/4/2019;Trade;1MM+;98.500;;M;;_;_;-;-;B;D;C;90323WAH3
8/30/2019;09:54:46;9/4/2019;Trade;1MM+;98.600;;M;;Z;_;-;-;S;D;C;90323WAH3
8/20/2019;10:06:27;8/22/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;90323WAH3
8/20/2019;10:05:54;8/22/2019;Trade;1MM+;99.200;;M;;_;_;-;-;S;D;C;90323WAH3
8/20/2019;10:04:57;8/22/2019;Trade;1MM+;99.100;;M;;_;_;-;-;B;D;C;90323WAH3
5/14/2019;09:41:44;5/16/2019;Trade;1MM+;98.750;;M;;_;_;-;-;S;D;C;90323WAH3
5/14/2019;09:41:12;5/16/2019;Trade;1MM+;98.650;;M;;_;_;-;-;B;D;C;90323WAH3
4/11/2019;08:59:22;4/15/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;90323WAH3
4/11/2019;08:58:44;4/15/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;90323WAH3
4/5/2019;10:22:10;4/9/2019;Trade;1MM+;99.500;;M;;_;_;-;-;S;D;C;90323WAH3
4/5/2019;10:20:51;4/9/2019;Trade;1MM+;99.400;;M;;_;_;-;-;B;D;C;90323WAH3
2/22/2019;08:44:14;2/26/2019;Trade;1000000;99.900;;M;;_;_;-;-;S;D;C;90323WAH3
2/22/2019;08:43:28;2/26/2019;Trade;500000;99.800;;M;;_;_;-;-;B;D;C;90323WAH3
2/22/2019;08:42:29;2/26/2019;Trade;500000;99.800;;M;;_;_;-;-;B;D;C;90323WAH3
2/11/2019;08:29:05;2/13/2019;Trade;900000;99.600;;M;;_;_;-;-;S;D;C;90323WAH3
2/11/2019;08:28:25;2/13/2019;Trade;900000;99.500;;M;;_;_;-;-;B;D;C;90323WAH3
2/5/2019;11:18:28;2/7/2019;Trade;1000000;99.600;;M;;_;_;-;-;S;D;C;90323WAH3
2/5/2019;11:17:36;2/7/2019;Trade;1000000;99.500;;M;;_;_;-;-;B;D;C;90323WAH3
1/8/2019;10:40:00;1/10/2019;Trade;900000;98.900;;M;;_;_;-;-;B;D;C;90323WAH3
1/8/2019;10:40:00;1/10/2019;Trade;900000;99.000;;M;;_;_;-;-;S;D;C;90323WAH3
1/3/2019;10:16:19;1/7/2019;Trade;376500;98.800;;M;;_;_;-;-;S;D;C;90323WAH3
1/3/2019;10:16:14;1/7/2019;Correction;375000;98.700;;M;;Z;_;-;-;B;D;C;90323WAH3
1/3/2019;10:16:14;1/7/2019;Cancel;376500;98.700;;M;;_;_;-;-;B;D;C;90323WAH3
12/10/2018;14:15:03;12/12/2018;Trade;375000;98.750;;M;;_;_;-;-;S;D;C;90323WAH3
12/10/2018;11:47:03;12/12/2018;Cancel;375000;98.750;;M;;_;_;-;-;S;D;C;90323WAH3
12/10/2018;11:47:03;12/12/2018;Cancel;375000;98.750;;M;;_;_;-;-;S;D;C;90323WAH3
12/10/2018;11:46:25;12/12/2018;Trade;375000;98.650;;M;;_;_;-;-;B;D;C;90323WAH3
11/21/2018;12:39:25;11/27/2018;Trade;1MM+;99.850;;M;;_;_;-;-;S;D;C;90323WAH3
11/21/2018;12:38:44;11/27/2018;Trade;1MM+;99.750;;M;;_;_;-;-;B;D;C;90323WAH3
11/5/2018;08:42:40;11/7/2018;Trade;375000;100.300;;M;;_;_;-;-;B;D;C;90323WAH3
11/5/2018;08:42:05;11/7/2018;Trade;375000;100.400;;M;;_;_;-;-;S;D;C;90323WAH3
10/11/2018;12:21:00;10/15/2018;Trade;1000000;100.600;;N;;_;_;-;-;S;D;C;90323WAH3
10/11/2018;12:21:00;10/15/2018;Trade;1000000;100.500;;N;;_;_;-;-;B;D;C;90323WAH3
7/11/2018;13:34:00;7/13/2018;Trade;1MM+;100.800;;N;;_;_;-;-;B;D;C;90323WAH3
7/11/2018;13:34:00;7/13/2018;Trade;750000;100.900;;N;;_;_;-;-;S;D;C;90323WAH3
7/3/2018;11:34:00;7/6/2018;Trade;950000;100.800;;M;;_;_;-;-;B;D;C;90323WAH3
7/3/2018;11:34:00;7/6/2018;Trade;950000;100.900;;M;;_;_;-;-;S;D;A;90323WAH3
7/2/2018;12:11:14;7/5/2018;Trade;250000;100.900;;M;;_;_;-;-;S;D;C;90323WAH3
7/2/2018;12:10:30;7/5/2018;Trade;250000;100.800;;M;;_;_;-;-;B;D;C;90323WAH3
6/27/2018;13:25:06;6/29/2018;Trade;500000;100.900;;M;;_;_;-;-;S;D;C;90323WAH3
6/27/2018;13:24:18;6/29/2018;Trade;500000;100.820;;M;;_;_;-;-;B;D;C;90323WAH3
6/5/2018;08:35:01;6/7/2018;Trade;250000;100.815;;M;;_;_;-;-;S;D;C;90323WAH3
6/5/2018;08:33:21;6/7/2018;Trade;250000;100.765;;M;;_;_;-;-;B;D;C;90323WAH3
5/31/2018;09:49:15;6/4/2018;Trade;1MM+;100.800;;M;;_;_;-;-;S;D;C;90323WAH3
5/31/2018;09:47:48;6/4/2018;Trade;1MM+;100.710;;M;;_;_;-;-;B;D;C;90323WAH3
4/27/2018;09:36:01;5/1/2018;Trade;250000;100.750;;M;;_;_;-;-;S;D;C;90323WAH3
4/27/2018;09:35:36;5/1/2018;Trade;250000;100.650;;M;;_;_;-;-;B;D;C;90323WAH3
