Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
5/20/2020;13:08:24;5/22/2020;Trade;250000;97.000;;M;;_;_;-;-;B;D;C;90323WAJ9
5/20/2020;13:08:24;5/22/2020;Trade;250000;96.900;;M;;_;_;-;-;S;D;C;90323WAJ9
5/15/2020;14:19:13;5/19/2020;Trade;1MM+;97.150;;M;;_;_;-;-;S;D;C;90323WAJ9
5/15/2020;14:18:12;5/19/2020;Trade;1MM+;97.150;;M;;_;_;-;-;S;D;C;90323WAJ9
5/15/2020;14:17:24;5/19/2020;Trade;1MM+;97.050;;M;;_;_;-;-;B;D;C;90323WAJ9
4/3/2020;13:20:12;4/7/2020;Trade;1MM+;97.260;;M;;_;_;-;-;B;D;C;90323WAJ9
4/3/2020;13:20:12;4/7/2020;Trade;1MM+;97.330;;M;;_;_;-;-;S;D;C;90323WAJ9
4/3/2020;12:12:15;4/7/2020;Trade;500000;97.350;;M;;_;_;-;-;S;D;C;90323WAJ9
4/3/2020;12:12:15;4/7/2020;Trade;500000;97.350;;M;;_;_;-;-;S;D;C;90323WAJ9
4/3/2020;11:25:00;4/7/2020;Trade;500000;97.200;;M;;_;_;-;-;S;D;A;90323WAJ9
4/3/2020;11:25:00;4/7/2020;Trade;500000;97.150;;M;;_;_;-;-;B;D;C;90323WAJ9
3/12/2020;13:22:36;3/16/2020;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;90323WAJ9
3/12/2020;13:22:36;3/16/2020;Trade;250000;98.300;;M;;_;_;-;-;S;D;C;90323WAJ9
3/12/2020;13:22:36;3/16/2020;Trade;1MM+;98.300;;M;;_;_;-;-;S;D;C;90323WAJ9
3/12/2020;13:11:45;3/16/2020;Trade;1MM+;98.200;;M;;_;_;-;-;B;D;C;90323WAJ9
3/11/2020;13:38:03;3/13/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;90323WAJ9
3/11/2020;13:34:40;3/13/2020;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;90323WAJ9
3/11/2020;13:30:39;3/13/2020;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;90323WAJ9
3/10/2020;11:03:06;3/12/2020;Trade;500000;98.350;;M;;_;_;-;-;S;;;90323WAJ9
3/10/2020;10:57:17;3/12/2020;Trade;500000;98.250;;M;;_;_;-;-;B;;;90323WAJ9
1/22/2020;09:12:58;1/24/2020;Trade;1MM+;98.000;;M;;_;_;-;-;S;D;C;90323WAJ9
1/22/2020;09:12:25;1/24/2020;Trade;1MM+;97.900;;M;;_;_;-;-;B;D;C;90323WAJ9
1/17/2020;09:26:22;1/22/2020;Trade;1MM+;97.750;;M;;_;_;-;-;S;D;C;90323WAJ9
1/17/2020;09:25:40;1/22/2020;Trade;1MM+;97.650;;M;;_;_;-;-;B;D;C;90323WAJ9
1/15/2020;09:07:45;1/17/2020;Trade;1000000;97.800;;M;;_;_;-;-;S;D;C;90323WAJ9
1/15/2020;09:07:42;1/17/2020;Correction;1000000;97.700;;M;;_;_;-;-;B;D;C;90323WAJ9
1/15/2020;09:07:42;1/17/2020;Cancel;1000000;97.700;;M;;_;_;-;-;S;D;C;90323WAJ9
1/14/2020;11:40:36;1/16/2020;Trade;1000000;97.800;;M;;_;_;-;-;S;D;C;90323WAJ9
1/14/2020;11:36:40;1/16/2020;Trade;1MM+;97.700;;M;;_;_;-;-;B;D;C;90323WAJ9
1/14/2020;10:46:58;1/16/2020;Trade;500000;97.800;;M;;_;_;-;-;S;D;C;90323WAJ9
11/1/2019;09:52:30;11/5/2019;Trade;1000000;97.750;;M;;_;_;-;-;B;D;C;90323WAJ9
11/1/2019;09:52:30;11/5/2019;Trade;1000000;97.850;;M;;_;_;-;-;S;D;C;90323WAJ9
5/14/2019;12:01:40;5/16/2019;Trade;1000000;97.000;;M;;_;_;-;-;S;D;C;90323WAJ9
5/14/2019;12:01:34;5/16/2019;Trade;1000000;96.900;;M;;_;_;-;-;B;D;C;90323WAJ9
5/8/2019;09:54:09;5/10/2019;Trade;600000;98.300;;M;;_;_;-;-;S;D;C;90323WAJ9
5/8/2019;09:53:37;5/10/2019;Trade;600000;98.200;;M;;_;_;-;-;B;D;C;90323WAJ9
5/7/2019;09:56:32;5/9/2019;Trade;250000;97.900;;M;;_;_;-;-;B;D;C;90323WAJ9
5/7/2019;09:56:29;5/9/2019;Trade;250000;98.000;;M;;_;_;-;-;S;D;C;90323WAJ9
5/7/2019;09:37:44;5/9/2019;Trade;1000000;98.600;;M;;_;_;-;-;S;D;C;90323WAJ9
5/7/2019;09:36:48;5/9/2019;Trade;1000000;98.500;;M;;_;_;-;-;B;D;C;90323WAJ9
4/11/2019;11:58:56;4/15/2019;Trade;1MM+;98.500;;M;;_;_;-;-;S;D;C;90323WAJ9
4/11/2019;11:58:14;4/15/2019;Trade;1MM+;98.400;;M;;_;_;-;-;B;D;C;90323WAJ9
1/4/2019;10:53:50;1/8/2019;Trade;500000;98.100;;M;;_;_;-;-;S;D;C;90323WAJ9
1/4/2019;10:53:18;1/8/2019;Trade;500000;98.000;;M;;_;_;-;-;B;D;C;90323WAJ9
12/17/2018;15:06:22;12/19/2018;Trade;500000;97.100;;M;;_;_;-;-;S;D;C;90323WAJ9
12/17/2018;15:05:49;12/19/2018;Trade;500000;97.000;;M;;_;_;-;-;B;D;C;90323WAJ9
12/10/2018;14:24:01;12/12/2018;Trade;250000;97.100;;M;;_;_;-;-;S;D;C;90323WAJ9
12/10/2018;14:23:22;12/12/2018;Trade;250000;97.000;;M;;_;_;-;-;B;D;C;90323WAJ9
11/29/2018;09:58:40;12/3/2018;Trade;500000;99.350;;M;;_;_;-;-;S;D;C;90323WAJ9
11/29/2018;09:57:26;12/3/2018;Trade;500000;99.250;;M;;_;_;-;-;B;D;C;90323WAJ9
11/5/2018;13:49:58;11/7/2018;Trade;500000;100.200;;M;;_;_;-;-;S;D;C;90323WAJ9
11/5/2018;13:42:13;11/7/2018;Trade;500000;100.100;;M;;_;_;-;-;B;D;C;90323WAJ9
10/3/2018;10:22:10;10/5/2018;Trade;1000000;100.300;;M;;_;_;-;-;S;D;C;90323WAJ9
