Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
4/2/2020;09:04:00;4/6/2020;Trade;1MM+;97.500;;M;;_;_;-;-;B;D;C;90323WAK6
4/2/2020;09:04:00;4/6/2020;Trade;1MM+;97.550;;M;;_;_;-;-;S;D;A;90323WAK6
4/1/2020;15:56:00;4/3/2020;Trade;500000;97.500;;M;;_;_;-;-;B;D;C;90323WAK6
4/1/2020;15:56:00;4/3/2020;Trade;500000;97.550;;M;;_;_;-;-;S;D;A;90323WAK6
3/26/2020;10:26:05;3/30/2020;Trade;1MM+;97.100;;M;;_;_;-;-;S;D;C;90323WAK6
3/26/2020;10:26:05;3/30/2020;Trade;1MM+;97.000;;M;;_;_;-;-;B;D;C;90323WAK6
3/19/2020;09:59:49;3/23/2020;Trade;300000;101.377;;;Y;_;_;-;-;S;D;T;90323WAK6
3/19/2020;09:59:49;3/23/2020;Trade;150000;101.377;;N;;_;_;-;-;B;D;C;90323WAK6
3/19/2020;09:59:49;3/23/2020;Trade;150000;101.377;;N;;_;_;-;-;B;D;C;90323WAK6
3/18/2020;11:45:46;3/20/2020;Trade;1MM+;99.500;;M;;_;_;-;-;B;D;C;90323WAK6
3/18/2020;10:46:33;3/20/2020;Trade;1MM+;99.600;;M;;_;_;-;-;S;D;C;90323WAK6
3/17/2020;14:22:34;3/19/2020;Trade;1MM+;99.700;;M;;_;_;-;-;S;D;C;90323WAK6
3/17/2020;14:22:32;3/19/2020;Trade;1MM+;99.600;;M;;_;_;-;-;B;D;C;90323WAK6
3/17/2020;09:19:44;3/19/2020;Trade;1000000;99.850;;M;;Z;_;-;-;B;D;C;90323WAK6
3/17/2020;09:19:44;3/19/2020;Trade;1000000;99.850;;M;;_;_;-;-;B;D;C;90323WAK6
3/17/2020;09:15:50;3/19/2020;Trade;1000000;99.950;;M;;_;_;-;-;S;D;C;90323WAK6
12/10/2019;15:08:22;12/12/2019;Trade;500000;100.200;;M;;Z;_;-;-;S;D;C;90323WAK6
12/10/2019;15:07:09;12/12/2019;Trade;500000;100.100;;M;;Z;_;-;-;B;D;C;90323WAK6
