Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
3/3/2016;11:13:12;3/8/2016;Trade;1500000;100.350;0;N;;_;_;-;-;S;D;C;928454AA5
3/3/2016;11:13:09;3/8/2016;Trade;1500000;100.250;0;N;;_;_;-;-;B;D;C;928454AA5
2/12/2016;10:33:05;2/18/2016;Trade;394000;100.500;0;N;;_;_;-;-;S;D;C;928454AA5
2/12/2016;10:33:01;2/18/2016;Trade;394000;100.400;0;N;;_;_;-;-;B;D;C;928454AA5
10/20/2015;11:11:00;10/23/2015;Trade;750000;100.850;0;N;;_;_;-;-;B;D;C;928454AA5
10/20/2015;11:11:00;10/23/2015;Trade;750000;100.950;0;N;;_;_;-;-;S;D;C;928454AA5
9/15/2015;11:56:00;9/18/2015;Trade;2750000;101.080;0;N;;_;_;-;-;B;D;C;928454AA5
9/15/2015;11:56:00;9/18/2015;Trade;2750000;101.180;0;N;;_;_;-;-;S;D;C;928454AA5
9/3/2015;12:01:00;9/9/2015;Trade;400000;101.140;0;N;;_;_;-;-;B;D;C;928454AA5
9/3/2015;12:01:00;9/9/2015;Trade;400000;101.200;0;N;;_;_;-;-;S;D;C;928454AA5
7/1/2015;15:51:22;7/7/2015;Trade;1000000;101.400;0;N;;_;_;-;-;S;D;C;928454AA5
7/1/2015;15:46:03;7/7/2015;Trade;1000000;101.300;0;N;;_;_;-;-;B;D;C;928454AA5
6/22/2015;12:41:43;6/25/2015;Trade;5MM+;101.450;0;N;;_;_;-;-;S;D;C;928454AA5
6/22/2015;12:41:32;6/25/2015;Trade;5MM+;101.350;0;N;;_;_;-;-;B;D;C;928454AA5
6/4/2015;12:13:16;6/9/2015;Trade;500000;101.400;0;N;;_;_;-;-;B;;;928454AA5
6/4/2015;12:13:16;6/9/2015;Trade;500000;101.400;0;N;;_;_;-;-;B;;;928454AA5
6/4/2015;12:05:55;6/9/2015;Trade;500000;101.500;0;N;;_;_;-;-;S;;;928454AA5
6/4/2015;12:05:55;6/9/2015;Trade;500000;101.500;0;N;;_;_;-;-;S;;;928454AA5
3/25/2015;16:40:00;3/30/2015;Trade;300000;101.800;0;N;;_;_;-;-;S;;;928454AA5
3/25/2015;16:40:00;3/30/2015;Trade;300000;101.800;0;N;;_;_;-;-;B;;;928454AA5
3/25/2015;16:33:00;3/30/2015;Trade;300000;101.700;0;N;;_;_;-;-;B;;;928454AA5
3/25/2015;16:33:00;3/30/2015;Trade;250000;101.700;0;N;;_;_;-;-;S;;;928454AA5
10/9/2014;12:48:10;10/15/2014;Trade;1000000;102.400;0;N;;_;_;-;-;S;;;928454AA5
10/9/2014;12:48:10;10/15/2014;Trade;1000000;102.300;0;N;;_;_;-;-;B;;;928454AA5
8/14/2014;09:26:00;8/19/2014;Trade;1500000;103.050;0;N;;_;_;-;-;S;;;928454AA5
8/14/2014;09:16:00;8/19/2014;Trade;1500000;102.900;0;N;;_;_;-;-;B;;;928454AA5
7/3/2014;17:38:39;7/10/2014;Trade;1250000;102.375;0;N;;Z;_;-;A;S;;;928454AA5
7/3/2014;17:38:37;7/10/2014;Trade;1250000;102.305;0;N;;Z;_;-;A;B;;;928454AA5
7/1/2014;12:56:43;7/7/2014;Trade;2000000;102.000;0;N;;_;_;-;-;S;;;928454AA5
7/1/2014;12:56:43;7/7/2014;Trade;2000000;101.900;0;N;;_;_;-;-;B;;;928454AA5
