Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
2/17/2016;09:05:23;2/22/2016;Trade;1MM+;101.000;0;N;;Z;_;-;-;S;D;C;928454AB3
2/17/2016;09:04:36;2/22/2016;Trade;1MM+;100.900;0;N;;Z;_;-;-;B;D;C;928454AB3
2/12/2016;10:35:50;8/18/2016;Cancel;1MM+;101.000;0;N;;_;_;-;-;S;D;C;928454AB3
2/12/2016;10:35:50;8/18/2016;Correction;1MM+;101.000;0;N;;_;_;-;-;S;D;C;928454AB3
2/12/2016;10:35:49;8/18/2016;Trade;1MM+;100.900;0;N;;_;_;-;-;B;D;C;928454AB3
1/6/2016;12:43:47;1/11/2016;Trade;250000;101.070;0;N;;_;_;-;-;S;D;C;928454AB3
1/6/2016;12:42:38;1/11/2016;Trade;250000;101.000;0;N;;_;_;-;-;B;D;C;928454AB3
12/14/2015;11:26:14;12/17/2015;Trade;500000;101.000;0;N;;_;_;-;-;S;D;C;928454AB3
12/14/2015;11:26:10;12/17/2015;Trade;500000;100.900;0;N;;_;_;-;-;B;D;C;928454AB3
12/4/2015;10:55:17;12/9/2015;Trade;1MM+;101.050;0;N;;_;_;-;-;S;D;C;928454AB3
12/4/2015;10:55:12;12/9/2015;Trade;1MM+;100.950;0;N;;_;_;-;-;B;D;C;928454AB3
12/4/2015;10:55:05;12/9/2015;Trade;1MM+;100.950;0;N;;_;_;-;-;B;D;C;928454AB3
12/4/2015;10:54:56;12/9/2015;Trade;1000000;100.950;0;N;;_;_;-;-;B;D;C;928454AB3
12/4/2015;10:54:49;12/9/2015;Trade;1000000;100.950;0;N;;_;_;-;-;B;D;C;928454AB3
12/4/2015;10:54:41;12/9/2015;Trade;1MM+;101.030;0;N;;_;_;-;-;S;D;C;928454AB3
6/4/2015;12:10:28;6/9/2015;Trade;500000;101.350;0;N;;_;_;-;-;B;;;928454AB3
6/4/2015;12:10:28;6/9/2015;Trade;500000;101.350;0;N;;_;_;-;-;B;;;928454AB3
6/4/2015;12:08:22;6/9/2015;Trade;500000;101.400;0;N;;_;_;-;-;S;;;928454AB3
6/4/2015;12:08:22;6/9/2015;Trade;500000;101.400;0;N;;_;_;-;-;S;;;928454AB3
5/26/2015;11:11:00;5/29/2015;Trade;1MM+;101.600;0;N;;_;_;-;-;B;;;928454AB3
5/26/2015;11:11:00;5/29/2015;Trade;1MM+;101.600;0;N;;_;_;-;-;S;;;928454AB3
5/26/2015;11:11:00;5/29/2015;Trade;1MM+;101.650;0;N;;_;_;-;-;B;;;928454AB3
5/26/2015;11:11:00;5/29/2015;Trade;1MM+;101.650;0;N;;_;_;-;-;S;;;928454AB3
5/15/2015;10:42:30;5/20/2015;Trade;1000000;101.750;0;N;;_;_;-;-;B;;;928454AB3
5/15/2015;10:42:30;5/20/2015;Trade;1000000;101.800;0;N;;_;_;-;-;S;;;928454AB3
4/29/2015;10:09:00;5/7/2015;Trade;250000;101.530;0;N;;_;_;-;-;B;;;928454AB3
4/29/2015;10:07:00;5/7/2015;Trade;250000;101.450;0;N;;_;_;-;-;S;;;928454AB3
4/29/2015;10:07:00;5/7/2015;Trade;250000;101.530;0;N;;_;_;-;-;S;;;928454AB3
4/29/2015;10:07:00;5/7/2015;Trade;250000;101.450;0;N;;_;_;-;-;B;;;928454AB3
4/24/2015;12:04:09;4/30/2015;Trade;250000;101.650;0;N;;_;_;-;-;S;;;928454AB3
4/24/2015;12:04:09;4/30/2015;Trade;250000;101.600;0;N;;_;_;-;-;B;;;928454AB3
4/21/2015;13:09:00;4/24/2015;Trade;1MM+;101.650;0;N;;_;_;-;-;S;;;928454AB3
4/21/2015;13:09:00;4/24/2015;Trade;1MM+;101.650;0;N;;_;_;-;-;B;;;928454AB3
4/21/2015;13:04:00;4/24/2015;Trade;1MM+;101.600;0;N;;_;_;-;-;B;;;928454AB3
4/21/2015;13:04:00;4/24/2015;Trade;1MM+;101.600;0;N;;_;_;-;-;S;;;928454AB3
3/24/2015;10:31:00;3/27/2015;Trade;1MM+;101.900;0;N;;_;_;-;-;B;;;928454AB3
3/24/2015;10:30:58;3/27/2015;Trade;1MM+;102.000;0;N;;_;_;-;-;S;;;928454AB3
2/25/2015;10:11:03;3/2/2015;Trade;250000;102.250;0;N;;_;_;-;-;S;;;928454AB3
2/25/2015;10:11:03;3/2/2015;Trade;250000;102.150;0;N;;_;_;-;-;B;;;928454AB3
8/14/2014;09:26:00;8/19/2014;Trade;1MM+;103.350;0;N;;_;_;-;-;S;;;928454AB3
8/14/2014;09:16:00;8/19/2014;Trade;1MM+;103.150;0;N;;_;_;-;-;B;;;928454AB3
7/3/2014;17:38:45;7/10/2014;Trade;1000000;102.840;0;N;;Z;_;-;A;S;;;928454AB3
7/3/2014;17:38:43;7/10/2014;Trade;1000000;102.770;0;N;;Z;_;-;A;B;;;928454AB3
7/1/2014;12:56:43;7/7/2014;Trade;1MM+;102.650;0;N;;_;_;-;-;S;;;928454AB3
7/1/2014;12:56:43;7/7/2014;Trade;1MM+;102.550;0;N;;_;_;-;-;B;;;928454AB3
