Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
1/23/2020;09:37:35;1/27/2020;Trade;5MM+;100.000;;M;;_;_;-;-;S;D;C;92849LAA3
1/23/2020;09:37:35;1/27/2020;Trade;4000000;100.000;;M;;_;_;-;-;S;D;C;92849LAA3
1/23/2020;09:37:35;1/27/2020;Trade;5MM+;99.900;;M;;_;_;-;-;B;D;C;92849LAA3
11/26/2019;10:03:18;11/27/2019;Trade;250000;100.100;;M;;_;_;-;-;S;D;C;92849LAA3
11/26/2019;10:02:30;11/27/2019;Trade;250000;100.000;;M;;_;_;-;-;B;D;C;92849LAA3
9/24/2019;12:13:03;9/26/2019;Trade;1500000;100.150;;M;;_;_;-;-;S;D;C;92849LAA3
9/24/2019;12:04:33;9/26/2019;Trade;1500000;100.050;;M;;_;_;-;-;B;D;C;92849LAA3
7/16/2019;09:52:13;7/18/2019;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;92849LAA3
7/16/2019;09:51:28;7/18/2019;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;92849LAA3
4/30/2019;16:46:35;5/2/2019;Trade;650000;99.800;;M;;_;_;-;-;S;D;C;92849LAA3
4/30/2019;12:08:01;5/2/2019;Cancel;2150000;99.800;;M;;_;_;-;-;S;D;C;92849LAA3
4/30/2019;12:08:01;5/2/2019;Correction;1500000;99.800;;M;;Z;_;-;-;S;D;C;92849LAA3
4/30/2019;09:53:39;5/2/2019;Trade;1150000;99.700;;M;;_;_;-;-;B;D;C;92849LAA3
4/30/2019;09:03:37;5/2/2019;Trade;1000000;99.700;;M;;_;_;-;-;B;D;C;92849LAA3
3/21/2019;11:27:22;3/25/2019;Trade;250000;99.500;;M;;_;_;-;-;S;D;C;92849LAA3
3/21/2019;11:27:10;3/25/2019;Trade;250000;99.500;;M;;_;_;-;-;S;D;C;92849LAA3
3/21/2019;11:18:51;3/25/2019;Trade;750000;99.400;;M;;_;_;-;-;B;D;C;92849LAA3
3/21/2019;11:18:09;3/25/2019;Cancel;750000;99.500;;M;;_;_;-;-;S;D;C;92849LAA3
3/21/2019;11:18:09;3/25/2019;Correction;250000;99.500;;M;;_;_;-;-;S;D;C;92849LAA3
2/28/2019;10:26:36;3/4/2019;Trade;1000000;99.200;;M;;_;_;-;-;S;D;C;92849LAA3
2/28/2019;10:08:14;3/4/2019;Trade;1000000;99.200;;M;;_;_;-;-;S;D;C;92849LAA3
2/28/2019;09:35:27;3/4/2019;Cancel;1000000;99.200;;M;;Z;_;-;-;S;D;C;92849LAA3
2/28/2019;09:35:27;3/4/2019;Cancel;1000000;99.200;;M;;Z;_;-;-;S;D;C;92849LAA3
2/28/2019;09:35:27;3/4/2019;Cancel;2000000;99.200;;M;;_;_;-;-;S;D;C;92849LAA3
2/28/2019;09:33:36;3/4/2019;Trade;2000000;99.100;;M;;_;_;-;-;B;D;C;92849LAA3
1/14/2019;14:46:43;1/16/2019;Trade;1750000;99.200;;M;;_;_;-;-;S;D;C;92849LAA3
1/14/2019;14:46:43;1/16/2019;Trade;1750000;99.100;;M;;_;_;-;-;B;D;C;92849LAA3
12/3/2018;15:35:18;12/6/2018;Cancel;420000;99.300;;M;;_;_;-;-;S;D;C;92849LAA3
12/3/2018;15:35:18;12/5/2018;Cancel;420000;99.300;;M;;Z;_;-;-;S;D;C;92849LAA3
12/3/2018;15:35:18;12/6/2018;Correction;420000;99.300;;M;;Z;_;-;-;S;D;C;92849LAA3
12/3/2018;15:35:16;12/6/2018;Cancel;420000;99.200;;M;;_;_;-;-;B;D;C;92849LAA3
12/3/2018;15:35:16;12/5/2018;Cancel;420000;99.200;;M;;Z;_;-;-;B;D;C;92849LAA3
12/3/2018;15:35:16;12/6/2018;Correction;420000;99.200;;M;;Z;_;-;-;B;D;C;92849LAA3
6/5/2018;10:33:00;6/7/2018;Trade;250000;100.550;;M;;_;_;-;-;S;D;C;92849LAA3
6/5/2018;10:32:23;6/7/2018;Trade;250000;100.450;;M;;_;_;-;-;B;D;C;92849LAA3
5/15/2018;09:33:38;5/17/2018;Trade;300000;100.300;;M;;_;_;-;-;S;D;C;92849LAA3
5/15/2018;09:31:33;5/17/2018;Trade;300000;100.200;;M;;_;_;-;-;B;D;C;92849LAA3
3/28/2018;10:53:59;3/29/2018;Trade;250000;100.365;;M;;_;_;-;-;S;D;C;92849LAA3
3/28/2018;10:53:15;3/29/2018;Trade;250000;100.315;;M;;_;_;-;-;B;D;C;92849LAA3
3/28/2018;10:51:50;3/29/2018;Trade;300000;100.365;;M;;_;_;-;-;S;D;C;92849LAA3
3/28/2018;10:50:30;3/29/2018;Trade;300000;100.315;;M;;_;_;-;-;B;D;C;92849LAA3
3/12/2018;08:46:10;3/14/2018;Trade;1000000;100.450;;M;;_;_;-;-;S;D;C;92849LAA3
3/12/2018;08:45:30;3/14/2018;Trade;1000000;100.350;;M;;_;_;-;-;B;D;C;92849LAA3
