Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
9/24/2019;12:13:48;9/26/2019;Trade;1MM+;100.100;;M;;_;_;-;-;S;D;C;92849LAB1
9/24/2019;12:06:20;9/26/2019;Trade;1MM+;100.000;;M;;_;_;-;-;B;D;C;92849LAB1
9/24/2019;09:54:26;9/26/2019;Trade;1000000;100.050;;M;;_;_;-;-;B;D;C;92849LAB1
9/24/2019;09:53:51;9/26/2019;Trade;1000000;100.150;;M;;_;_;-;-;S;D;C;92849LAB1
7/19/2019;11:34:31;7/23/2019;Trade;1MM+;99.800;;M;;_;_;-;-;S;D;C;92849LAB1
7/19/2019;11:30:27;7/23/2019;Trade;1MM+;99.700;;M;;_;_;-;-;B;D;C;92849LAB1
7/9/2019;12:30:33;7/11/2019;Trade;1MM+;99.750;;M;;_;_;-;-;S;D;C;92849LAB1
7/9/2019;12:28:49;7/11/2019;Trade;1MM+;99.650;;M;;_;_;-;-;B;D;C;92849LAB1
5/2/2019;11:10:00;5/6/2019;Trade;1MM+;99.550;;M;;_;_;-;-;B;D;C;92849LAB1
5/2/2019;11:08:40;5/6/2019;Trade;1MM+;99.650;;M;;_;_;-;-;S;D;C;92849LAB1
2/28/2019;15:06:43;3/4/2019;Trade;500000;99.300;;M;;_;_;-;-;B;D;C;92849LAB1
2/28/2019;15:06:15;3/4/2019;Trade;500000;99.400;;M;;_;_;-;-;S;D;C;92849LAB1
2/28/2019;10:07:54;3/4/2019;Trade;1000000;99.400;;M;;_;_;-;-;S;D;C;92849LAB1
2/28/2019;09:35:01;3/4/2019;Cancel;1000000;99.400;;M;;_;_;-;-;S;D;C;92849LAB1
2/28/2019;09:35:01;3/4/2019;Cancel;1000000;99.400;;M;;_;_;-;-;S;D;C;92849LAB1
2/28/2019;09:34:28;3/4/2019;Trade;1000000;99.300;;M;;_;_;-;-;B;D;C;92849LAB1
12/12/2018;11:07:11;12/14/2018;Trade;250000;100.050;;M;;_;_;-;-;S;D;C;92849LAB1
12/12/2018;11:01:50;12/14/2018;Trade;250000;99.950;;M;;_;_;-;-;B;D;C;92849LAB1
7/25/2018;11:49:00;7/27/2018;Trade;1MM+;100.500;;M;;_;_;-;-;B;D;C;92849LAB1
7/25/2018;11:47:02;7/27/2018;Trade;1MM+;100.600;;M;;_;_;-;-;S;D;C;92849LAB1
6/27/2018;12:47:05;6/29/2018;Trade;250000;100.450;;M;;_;_;-;-;B;D;C;92849LAB1
6/27/2018;12:12:17;6/29/2018;Correction;250000;100.550;;M;;Z;_;-;-;S;D;C;92849LAB1
6/27/2018;12:12:17;6/29/2018;Cancel;500000;100.550;;M;;_;_;-;-;S;D;C;92849LAB1
6/18/2018;02:30:00;6/20/2018;Trade;250000;100.400;;M;;Z;_;-;-;S;D;C;92849LAB1
6/18/2018;02:30:00;6/20/2018;Trade;250000;100.350;;M;;Z;_;-;-;B;D;C;92849LAB1
5/17/2018;08:07:49;5/18/2018;Trade;550000;100.300;;M;;_;_;-;-;S;D;C;92849LAB1
5/17/2018;08:06:50;5/18/2018;Trade;550000;100.200;;M;;_;_;-;-;B;D;C;92849LAB1
5/2/2018;08:59:44;5/4/2018;Trade;250000;100.300;;M;;_;_;-;-;S;D;C;92849LAB1
5/2/2018;08:59:09;5/4/2018;Trade;250000;100.200;;M;;_;_;-;-;B;D;C;92849LAB1
4/25/2018;11:15:22;4/27/2018;Trade;400000;100.075;;M;;_;_;-;-;S;D;C;92849LAB1
4/25/2018;11:14:39;4/27/2018;Trade;400000;100.025;;M;;_;_;-;-;B;D;C;92849LAB1
3/14/2018;11:20:04;3/16/2018;Trade;1MM+;100.700;;M;;_;_;-;-;S;D;C;92849LAB1
3/14/2018;11:19:14;3/16/2018;Trade;1MM+;100.600;;M;;_;_;-;-;B;D;C;92849LAB1
