Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
12/7/2018;11:15:31;12/11/2018;Trade;1000000;100.030;;M;;_;_;-;-;S;D;C;92848GAA5
12/7/2018;11:14:40;12/11/2018;Trade;1000000;99.980;;M;;_;_;-;-;B;D;C;92848GAA5
12/3/2018;12:39:59;12/6/2018;Cancel;890000;100.171;;M;;Z;_;-;-;B;D;C;92848GAA5
12/3/2018;12:39:59;12/6/2018;Cancel;890000;100.171;;M;;Z;_;-;-;S;D;A;92848GAA5
12/3/2018;12:39:59;12/6/2018;Trade;890000;100.171;;M;;Z;_;-;-;B;D;C;92848GAA5
12/3/2018;12:39:59;12/6/2018;Cancel;890000;100.171;;M;;Z;_;-;-;B;D;C;92848GAA5
12/3/2018;12:39:59;12/6/2018;Trade;890000;100.171;;M;;Z;_;-;-;S;D;A;92848GAA5
12/3/2018;12:39:59;12/6/2018;Cancel;890000;100.171;;M;;Z;_;-;-;S;D;A;92848GAA5
11/19/2018;14:55:44;11/21/2018;Trade;1340000;99.870;;M;;_;_;-;-;S;D;C;92848GAA5
11/19/2018;14:54:50;11/21/2018;Trade;1340000;99.830;;M;;_;_;-;-;B;D;C;92848GAA5
7/11/2018;08:48:43;7/13/2018;Trade;250000;100.015;;M;;_;_;-;-;S;D;C;92848GAA5
7/11/2018;08:48:03;7/13/2018;Trade;250000;99.965;;M;;_;_;-;-;B;D;C;92848GAA5
6/26/2018;10:05:36;6/28/2018;Trade;250000;100.015;;M;;_;_;-;-;S;D;C;92848GAA5
6/26/2018;10:04:54;6/28/2018;Trade;250000;99.965;;M;;_;_;-;-;B;D;C;92848GAA5
5/31/2018;10:29:57;6/4/2018;Trade;1330000;99.750;;M;;_;_;-;-;B;D;C;92848GAA5
5/31/2018;10:29:57;6/4/2018;Trade;1330000;99.750;;;;_;_;-;-;S;D;D;92848GAA5
5/31/2018;10:26:34;6/4/2018;Trade;1330000;100.000;;M;;_;_;-;-;S;D;C;92848GAA5
2/12/2018;12:47:21;2/14/2018;Trade;500000;100.100;1.637;M;;_;_;-;-;S;D;A;92848GAA5
2/12/2018;12:47:21;2/14/2018;Trade;500000;100.050;1.693;M;;_;_;-;-;B;D;C;92848GAA5
2/7/2018;09:36:41;2/9/2018;Trade;500000;100.130;1.606;M;;_;_;-;-;B;D;C;92848GAA5
2/7/2018;09:36:17;2/9/2018;Trade;500000;100.230;1.495;M;;_;_;-;-;S;D;C;92848GAA5
10/30/2017;10:56:52;11/1/2017;Trade;1000000;100.050;1.707;M;;Z;_;-;-;S;D;C;92848GAA5
10/30/2017;10:53:22;11/1/2017;Trade;1000000;99.950;1.793;M;;Z;_;-;-;B;D;C;92848GAA5
10/26/2017;09:27:21;10/30/2017;Trade;340000;100.110;1.656;M;;Z;_;-;-;S;D;C;92848GAA5
10/26/2017;09:27:21;10/30/2017;Trade;340000;100.000;1.75;M;;Z;_;-;-;B;D;C;92848GAA5
7/13/2017;08:48:25;7/18/2017;Trade;500000;100.200;1.612;M;;_;_;-;-;S;D;C;92848GAA5
7/13/2017;08:47:30;7/18/2017;Trade;500000;100.100;1.681;M;;_;_;-;-;B;D;C;92848GAA5
7/7/2017;08:25:18;7/12/2017;Trade;1000000;100.150;1.648;M;;_;_;-;-;S;D;C;92848GAA5
7/7/2017;08:24:41;7/12/2017;Trade;1000000;100.050;1.716;M;;_;_;-;-;B;D;C;92848GAA5
6/17/2016;16:34:56;6/22/2016;Trade;310000;99.300;2.033;N;;_;_;-;-;B;D;C;92848GAA5
6/17/2016;16:34:56;6/22/2016;Trade;310000;99.400;1.993;N;;_;_;-;-;S;D;A;92848GAA5
4/21/2016;11:54:54;4/26/2016;Trade;1000000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;11:54:32;4/26/2016;Trade;1000000;99.400;1.979;N;;_;_;-;-;B;D;C;92848GAA5
4/21/2016;11:45:31;4/26/2016;Trade;4375000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;11:45:12;4/26/2016;Trade;1280000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;11:44:48;4/26/2016;Trade;345000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;11:35:56;4/26/2016;Trade;2215000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;11:35:21;4/26/2016;Cancel;2215000;99.500;1.941;N;;_;_;-;-;B;D;C;92848GAA5
4/21/2016;11:35:21;4/26/2016;Cancel;2215000;99.500;1.941;N;;_;_;-;-;B;;;92848GAA5
4/21/2016;11:34:55;4/26/2016;Trade;5MM+;99.400;1.979;N;;_;_;-;-;B;D;C;92848GAA5
4/21/2016;10:40:45;4/26/2016;Trade;2900000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;10:40:33;4/26/2016;Trade;850000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;10:39:52;4/26/2016;Trade;250000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;10:03:38;4/26/2016;Cancel;4000000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;10:03:38;4/26/2016;Cancel;4000000;99.500;1.941;N;;_;_;-;-;S;;;92848GAA5
4/21/2016;10:03:24;4/26/2016;Trade;4000000;99.400;1.979;N;;_;_;-;-;B;D;C;92848GAA5
4/21/2016;09:58:04;4/26/2016;Trade;3000000;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;09:57:44;4/26/2016;Trade;5MM+;99.500;1.941;N;;_;_;-;-;S;D;C;92848GAA5
4/21/2016;09:57:12;4/26/2016;Trade;5MM+;99.400;1.979;N;;_;_;-;-;B;D;C;92848GAA5
12/17/2015;14:52:33;12/22/2015;Trade;5MM+;99.000;2.09;N;;_;_;-;-;S;D;C;92848GAA5
12/17/2015;14:52:26;12/22/2015;Trade;5MM+;98.900;2.124;N;;_;_;-;-;B;D;C;92848GAA5
12/3/2015;12:42:20;12/8/2015;Trade;5000000;99.300;1.985;N;;_;_;-;-;S;D;C;92848GAA5
12/3/2015;12:42:06;12/8/2015;Trade;1880000;99.200;2.018;N;;_;_;-;-;B;D;C;92848GAA5
12/3/2015;12:41:22;12/8/2015;Trade;3120000;99.200;2.018;N;;_;_;-;-;B;D;C;92848GAA5
10/23/2015;09:40:27;10/28/2015;Trade;500000;99.600;1.879;N;;_;_;-;-;S;D;C;92848GAA5
10/23/2015;09:40:25;10/28/2015;Trade;500000;99.500;1.912;N;;_;_;-;-;B;D;C;92848GAA5
10/23/2015;09:38:46;10/28/2015;Cancel;500000;100.700;1.525;N;;_;_;-;-;B;D;C;92848GAA5
10/23/2015;09:38:46;10/28/2015;Cancel;500000;100.700;1.525;N;;_;_;-;-;B;;;92848GAA5
