Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
11/2/2018;15:14:00;11/6/2018;Trade;1000000;100.080;;M;;_;_;-;-;B;D;C;92848GAB3
11/2/2018;15:14:00;11/6/2018;Trade;1000000;100.150;;M;;_;_;-;-;S;D;C;92848GAB3
6/27/2018;12:46:42;6/29/2018;Trade;450000;100.425;1.681;M;;_;_;-;-;B;D;C;92848GAB3
6/27/2018;12:08:59;6/29/2018;Trade;450000;100.525;1.489;M;;_;_;-;-;S;D;C;92848GAB3
6/15/2018;12:15:45;6/19/2018;Trade;1000000;100.425;1.721;M;;_;_;-;-;B;D;C;92848GAB3
6/15/2018;12:09:00;6/19/2018;Trade;1000000;100.525;1.539;M;;_;_;-;-;S;D;C;92848GAB3
3/18/2016;10:36:23;3/23/2016;Cancel;1MM+;100.400;2.351;N;;_;_;-;-;B;D;C;92848GAB3
3/18/2016;10:36:23;3/23/2016;Correction;1MM+;100.400;2.351;N;;_;_;-;-;B;;;92848GAB3
3/18/2016;10:31:30;3/23/2016;Trade;1MM+;100.500;2.314;N;;_;_;-;-;S;D;C;92848GAB3
3/18/2016;10:30:51;3/23/2016;Correction;1MM+;100.400;2.351;N;;_;_;-;-;B;;;92848GAB3
3/18/2016;10:30:51;3/23/2016;Cancel;1MM+;100.400;2.351;N;;_;_;-;-;B;D;C;92848GAB3
3/16/2016;12:40:00;3/21/2016;Trade;500000;100.400;2.352;N;;_;_;-;-;B;D;C;92848GAB3
3/16/2016;12:40:00;3/21/2016;Trade;500000;100.500;2.315;N;;_;_;-;-;S;D;C;92848GAB3
1/21/2016;09:25:58;1/26/2016;Trade;1000000;99.700;2.606;N;;_;_;-;-;S;D;C;92848GAB3
1/21/2016;09:25:43;1/26/2016;Trade;1000000;99.600;2.641;N;;_;_;-;-;B;D;C;92848GAB3
12/4/2015;11:15:14;12/9/2015;Trade;1MM+;100.900;2.197;N;;_;_;-;-;S;D;C;92848GAB3
12/4/2015;11:15:03;12/9/2015;Trade;1MM+;100.800;2.23;N;;_;_;-;-;B;D;C;92848GAB3
12/4/2015;11:14:52;12/9/2015;Trade;1MM+;100.800;2.23;N;;_;_;-;-;B;D;C;92848GAB3
12/2/2015;12:09:08;12/7/2015;Trade;1MM+;100.900;2.197;N;;_;_;-;-;S;D;C;92848GAB3
12/2/2015;12:08:49;12/7/2015;Trade;500000;100.800;2.231;N;;_;_;-;-;B;D;C;92848GAB3
12/2/2015;12:08:25;12/7/2015;Trade;900000;100.800;2.231;N;;_;_;-;-;B;D;C;92848GAB3
10/23/2015;09:40:26;10/28/2015;Trade;250000;101.000;2.175;N;;_;_;-;-;S;D;C;92848GAB3
10/23/2015;09:40:25;10/28/2015;Trade;250000;100.900;2.207;N;;_;_;-;-;B;D;C;92848GAB3
10/23/2015;09:38:44;10/28/2015;Cancel;500000;99.500;2.664;N;;_;_;-;-;B;D;C;92848GAB3
10/23/2015;09:38:44;10/28/2015;Cancel;500000;99.500;2.664;N;;_;_;-;-;B;;;92848GAB3
10/23/2015;09:38:43;10/28/2015;Cancel;250000;100.900;2.207;N;;_;_;-;-;B;;;92848GAB3
10/23/2015;09:38:43;10/28/2015;Cancel;250000;100.900;2.207;N;;_;_;-;-;B;D;C;92848GAB3
10/22/2015;10:22:00;10/27/2015;Trade;500000;101.050;2.159;N;;_;_;-;-;S;D;C;92848GAB3
5/18/2015;09:53:00;5/21/2015;Trade;1MM+;101.640;0;N;;_;_;-;-;B;;;92848GAB3
5/18/2015;09:53:00;5/21/2015;Trade;1MM+;101.640;0;N;;_;_;-;-;S;;;92848GAB3
4/29/2015;11:32:00;5/4/2015;Trade;250000;101.750;0;N;;_;_;-;-;B;;;92848GAB3
4/29/2015;11:32:00;5/4/2015;Trade;250000;101.750;0;N;;_;_;-;-;S;;;92848GAB3
10/9/2014;14:46:28;10/15/2014;Trade;1000000;101.150;0;N;;Z;_;-;-;B;;;92848GAB3
10/9/2014;14:46:28;10/15/2014;Trade;750000;101.250;0;N;;Z;_;-;-;S;;;92848GAB3
10/9/2014;14:46:28;10/15/2014;Trade;250000;101.250;0;N;;Z;_;-;-;S;;;92848GAB3
