Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
8/6/2019;12:21:33;8/8/2019;Trade;1MM+;100.200;;M;;_;_;-;-;S;D;C;92848XAB6
8/6/2019;12:20:10;8/8/2019;Trade;1MM+;100.100;;M;;_;_;-;-;B;D;C;92848XAB6
7/30/2019;11:17:21;8/1/2019;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;92848XAB6
7/30/2019;11:15:18;8/1/2019;Trade;1MM+;100.250;;;;_;_;-;-;S;D;D;92848XAB6
7/30/2019;11:14:15;8/1/2019;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;92848XAB6
7/10/2019;12:31:47;7/12/2019;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;92848XAB6
7/10/2019;12:24:54;7/12/2019;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;92848XAB6
7/10/2019;11:55:00;7/12/2019;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;92848XAB6
7/10/2019;11:55:00;7/12/2019;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;92848XAB6
3/19/2019;12:49:54;3/21/2019;Trade;500000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
3/19/2019;12:45:00;3/21/2019;Trade;500000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
3/19/2019;10:35:08;3/21/2019;Trade;500000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
3/19/2019;09:53:19;3/21/2019;Cancel;1000000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
3/19/2019;09:53:19;3/21/2019;Cancel;1000000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
3/19/2019;09:53:08;3/21/2019;Cancel;500000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
3/19/2019;09:53:08;3/21/2019;Cancel;500000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
3/19/2019;09:31:09;3/21/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;92848XAB6
3/6/2019;10:31:00;3/8/2019;Trade;250000;100.900;;M;;_;_;-;-;B;D;C;92848XAB6
3/6/2019;10:28:02;3/8/2019;Trade;250000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
2/15/2019;11:30:25;2/20/2019;Trade;1000000;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
2/15/2019;11:29:39;2/20/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
2/15/2019;11:29:06;2/20/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;92848XAB6
2/11/2019;10:20:36;2/13/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
2/11/2019;10:20:07;2/13/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;92848XAB6
2/11/2019;09:10:45;2/13/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
2/11/2019;09:09:49;2/13/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;92848XAB6
2/1/2019;10:39:23;2/5/2019;Trade;1MM+;101.000;;M;;_;_;-;-;S;D;C;92848XAB6
2/1/2019;10:37:09;2/5/2019;Trade;1MM+;100.900;;M;;_;_;-;-;B;D;C;92848XAB6
12/11/2018;10:41:31;12/13/2018;Trade;1000000;100.900;;M;;_;_;-;-;S;D;C;92848XAB6
12/11/2018;10:40:58;12/13/2018;Trade;1000000;100.800;;M;;_;_;-;-;B;D;C;92848XAB6
11/2/2018;15:14:00;11/6/2018;Trade;1000000;101.000;;M;;_;_;-;-;B;D;C;92848XAB6
11/2/2018;15:14:00;11/6/2018;Trade;1000000;101.100;;M;;_;_;-;-;S;D;C;92848XAB6
5/4/2018;11:05:00;5/9/2018;Trade;1MM+;101.400;;M;;_;_;-;-;B;D;C;92848XAB6
5/4/2018;11:05:00;5/9/2018;Trade;1MM+;101.500;;M;;_;_;-;-;S;D;C;92848XAB6
5/1/2018;10:47:00;5/3/2018;Trade;400000;101.300;;M;;_;_;-;-;B;D;C;92848XAB6
5/1/2018;10:47:00;5/3/2018;Trade;400000;101.400;;M;;_;_;-;-;S;D;C;92848XAB6
3/30/2017;10:38:27;4/4/2017;Trade;1MM+;101.900;;M;;_;_;-;-;B;D;C;92848XAB6
3/30/2017;10:38:25;4/4/2017;Trade;1MM+;102.000;;M;;_;_;-;-;S;D;C;92848XAB6
5/25/2016;12:27:47;5/31/2016;Trade;1MM+;102.250;0;N;;_;_;-;-;S;D;C;92848XAB6
5/25/2016;12:27:24;5/31/2016;Trade;1MM+;102.160;0;N;;_;_;-;-;B;D;C;92848XAB6
5/24/2016;14:35:00;5/27/2016;Trade;1000000;102.130;0;N;;_;_;-;-;B;D;C;92848XAB6
5/24/2016;14:35:00;5/27/2016;Trade;1000000;102.230;0;N;;_;_;-;-;S;D;C;92848XAB6
