Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
1/23/2020;09:05:36;1/27/2020;Trade;5MM+;100.100;;M;;_;_;-;-;S;D;C;92848LAA4
1/23/2020;09:05:01;1/27/2020;Trade;5MM+;100.000;;M;;_;_;-;-;B;D;C;92848LAA4
12/3/2019;12:42:01;12/5/2019;Trade;1000000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
12/3/2019;12:41:24;12/5/2019;Trade;1000000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
8/6/2019;10:43:59;8/8/2019;Trade;500000;100.100;;M;;_;_;-;-;S;D;C;92848LAA4
8/6/2019;10:42:22;8/8/2019;Trade;500000;100.000;;M;;_;_;-;-;B;D;C;92848LAA4
7/24/2019;11:26:05;7/26/2019;Trade;1000000;100.100;;M;;_;_;-;-;S;D;C;92848LAA4
7/24/2019;11:24:21;7/26/2019;Trade;1000000;100.000;;M;;_;_;-;-;B;D;C;92848LAA4
6/14/2019;11:12:24;6/18/2019;Trade;5000000;100.050;;M;;_;_;-;-;B;D;C;92848LAA4
6/14/2019;11:11:38;6/18/2019;Trade;5000000;100.150;;M;;_;_;-;-;S;D;C;92848LAA4
4/12/2019;13:24:12;4/16/2019;Trade;5MM+;100.150;;M;;_;_;-;-;S;D;C;92848LAA4
4/12/2019;13:19:53;4/16/2019;Trade;5MM+;100.050;;M;;_;_;-;-;B;D;C;92848LAA4
3/22/2019;11:09:42;3/26/2019;Cancel;125000;100.100;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:09:42;3/26/2019;Cancel;250000;100.100;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:09:42;3/26/2019;Correction;250000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:09:33;3/26/2019;Cancel;125000;100.100;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:09:33;3/26/2019;Cancel;125000;100.100;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:09:22;3/26/2019;Trade;250000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
3/22/2019;11:07:45;3/26/2019;Cancel;125000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:07:45;3/26/2019;Cancel;125000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:02:36;3/26/2019;Cancel;125000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:02:36;3/26/2019;Cancel;125000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:02:36;3/26/2019;Cancel;250000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
3/22/2019;11:01:13;3/26/2019;Cancel;250000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
3/22/2019;11:01:13;3/26/2019;Cancel;250000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
3/22/2019;11:00:59;3/26/2019;Cancel;250000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
3/22/2019;11:00:59;3/26/2019;Cancel;250000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
3/7/2019;10:50:07;3/11/2019;Trade;1750000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
3/7/2019;10:30:26;3/11/2019;Trade;875000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
3/7/2019;10:29:14;3/11/2019;Trade;875000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
12/11/2018;17:07:55;12/13/2018;Trade;500000;100.100;;M;;Z;_;-;A;B;D;C;92848LAA4
12/11/2018;17:05:31;12/13/2018;Trade;500000;100.200;;M;;Z;_;-;A;S;D;C;92848LAA4
12/11/2018;13:07:55;12/13/2018;Cancel;500000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
12/11/2018;13:07:55;12/13/2018;Cancel;500000;100.100;;M;;_;_;-;-;B;D;C;92848LAA4
12/11/2018;13:05:31;12/13/2018;Cancel;500000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
12/11/2018;13:05:31;12/13/2018;Cancel;500000;100.200;;M;;_;_;-;-;S;D;C;92848LAA4
12/11/2018;11:43:00;12/13/2018;Trade;850000;100.250;;M;;_;_;-;-;S;D;C;92848LAA4
12/11/2018;11:37:04;12/13/2018;Trade;850000;100.150;;M;;_;_;-;-;B;D;C;92848LAA4
11/2/2018;15:14:00;11/6/2018;Trade;1000000;100.400;;M;;_;_;-;-;B;D;C;92848LAA4
11/2/2018;15:14:00;11/6/2018;Trade;1000000;100.500;;M;;_;_;-;-;S;D;C;92848LAA4
7/11/2018;09:05:46;7/13/2018;Trade;270000;100.405;;M;;_;_;-;-;S;D;C;92848LAA4
7/11/2018;09:04:58;7/13/2018;Trade;270000;100.355;;M;;_;_;-;-;B;D;C;92848LAA4
4/27/2017;11:13:35;5/2/2017;Trade;1550000;100.450;;M;;_;_;-;-;S;D;C;92848LAA4
4/27/2017;11:13:33;5/2/2017;Trade;1550000;100.350;;M;;_;_;-;-;B;D;C;92848LAA4
