Date;Time;Settlement;Status;Quantity;Price;Yield;Remuneration;ATS; Modifier;2nd Modifier;Special;As-Of;Side;Reporting Party Type;Contra Party Type;Finra Ticker
7/19/2019;08:48:39;7/23/2019;Trade;550000;100.250;;M;;_;_;-;-;S;D;C;92848LAB2
7/19/2019;08:48:10;7/23/2019;Trade;550000;100.150;;M;;_;_;-;-;B;D;C;92848LAB2
7/9/2019;13:26:39;7/11/2019;Trade;1MM+;100.150;;M;;_;_;-;-;B;D;C;92848LAB2
7/9/2019;13:25:05;7/11/2019;Trade;1MM+;100.250;;M;;_;_;-;-;S;D;C;92848LAB2
5/2/2019;11:10:00;5/6/2019;Trade;1MM+;100.050;;M;;_;_;-;-;B;D;C;92848LAB2
5/2/2019;11:08:03;5/6/2019;Trade;1MM+;100.150;;M;;_;_;-;-;S;D;C;92848LAB2
3/22/2019;12:01:04;3/26/2019;Trade;1000000;100.750;;M;;_;_;-;-;S;D;C;92848LAB2
3/22/2019;12:00:00;3/26/2019;Trade;1000000;100.650;;M;;_;_;-;-;B;D;C;92848LAB2
3/7/2019;10:50:23;3/11/2019;Trade;500000;100.500;;M;;_;_;-;-;B;D;C;92848LAB2
3/7/2019;10:39:23;3/11/2019;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;92848LAB2
3/7/2019;10:39:16;3/11/2019;Trade;250000;100.600;;M;;_;_;-;-;S;D;C;92848LAB2
2/28/2019;12:17:47;3/4/2019;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;92848LAB2
2/28/2019;12:17:13;3/4/2019;Trade;500000;100.500;;M;;_;_;-;-;B;D;C;92848LAB2
2/28/2019;10:07:37;3/4/2019;Trade;500000;100.600;;M;;_;_;-;-;S;D;C;92848LAB2
2/28/2019;09:32:58;3/4/2019;Cancel;500000;100.600;;M;;_;_;-;-;S;D;C;92848LAB2
2/28/2019;09:32:58;3/4/2019;Cancel;500000;100.600;;M;;_;_;-;-;S;D;C;92848LAB2
2/28/2019;09:28:27;3/4/2019;Trade;500000;100.500;;M;;_;_;-;-;B;D;C;92848LAB2
12/11/2018;17:08:51;12/13/2018;Trade;500000;100.450;;M;;Z;_;-;A;B;D;C;92848LAB2
12/11/2018;17:02:59;12/13/2018;Trade;500000;100.550;;M;;Z;_;-;A;S;D;C;92848LAB2
12/11/2018;13:08:51;12/13/2018;Cancel;500000;100.450;;M;;_;_;-;-;B;D;C;92848LAB2
12/11/2018;13:08:51;12/13/2018;Cancel;500000;100.450;;M;;_;_;-;-;B;D;C;92848LAB2
12/11/2018;13:02:59;12/13/2018;Cancel;500000;100.550;;M;;_;_;-;-;S;D;C;92848LAB2
12/11/2018;13:02:59;12/13/2018;Cancel;500000;100.550;;M;;_;_;-;-;S;D;C;92848LAB2
12/11/2018;10:39:12;12/13/2018;Trade;600000;100.550;;M;;_;_;-;-;S;D;C;92848LAB2
12/11/2018;10:38:38;12/13/2018;Trade;600000;100.450;;M;;_;_;-;-;B;D;C;92848LAB2
12/10/2018;11:43:52;12/12/2018;Trade;250000;100.550;;M;;_;_;-;-;S;D;C;92848LAB2
12/10/2018;11:43:06;12/12/2018;Trade;250000;100.450;;M;;_;_;-;-;B;D;C;92848LAB2
12/7/2018;11:14:11;12/11/2018;Trade;650000;100.550;;M;;_;_;-;-;S;D;C;92848LAB2
12/7/2018;11:13:10;12/11/2018;Trade;650000;100.450;;M;;_;_;-;-;B;D;C;92848LAB2
11/6/2018;11:24:54;11/8/2018;Trade;1MM+;100.700;;M;;_;_;-;-;S;D;C;92848LAB2
11/6/2018;11:24:54;11/8/2018;Trade;1MM+;100.600;;M;;_;_;-;-;B;D;C;92848LAB2
11/2/2018;15:14:00;11/6/2018;Trade;500000;100.700;;M;;_;_;-;-;S;D;C;92848LAB2
11/2/2018;15:14:00;11/6/2018;Trade;500000;100.600;;M;;_;_;-;-;B;D;C;92848LAB2
7/26/2018;11:05:01;7/30/2018;Trade;1MM+;101.100;;M;;_;_;-;-;S;D;C;92848LAB2
7/26/2018;11:04:02;7/30/2018;Trade;1MM+;101.000;;M;;_;_;-;-;B;D;C;92848LAB2
3/28/2018;10:58:29;3/29/2018;Trade;300000;100.685;;M;;_;_;-;-;S;D;C;92848LAB2
3/28/2018;10:57:42;3/29/2018;Trade;300000;100.635;;M;;_;_;-;-;B;D;C;92848LAB2
6/26/2017;10:41:47;6/29/2017;Trade;1MM+;100.850;;M;;_;_;-;-;S;D;C;92848LAB2
6/26/2017;10:40:41;6/29/2017;Trade;1MM+;100.750;;M;;_;_;-;-;B;D;C;92848LAB2
4/25/2017;12:34:41;4/28/2017;Trade;1MM+;100.550;;M;;_;_;-;-;B;D;C;92848LAB2
4/25/2017;12:34:38;4/28/2017;Trade;1MM+;100.650;;M;;_;_;-;-;S;D;C;92848LAB2
3/31/2017;10:22:24;4/5/2017;Trade;450000;100.600;;M;;_;_;-;-;S;D;C;92848LAB2
3/31/2017;10:22:22;4/5/2017;Trade;450000;100.500;;M;;_;_;-;-;B;D;C;92848LAB2
