Index,ISIN,Name,Issuance_Date,Maturity_Date,Term,TTM,Volume,Volume_log,Peril_Type,Peril_Types,Peril_Type_Dummy,Peril_Region,Peril_Regions,Peril_Region_Dummy,NA_EQ,NA_Hurricane,NA_Winterstorm,NA_Windstorm,JP_EQ,JP_Hurricane,JP_Winterstorm,JP_Windstorm,EU_EQ,EU_Winterstorm,EU_Windstorm,AUS_EQ,AUS_Hurricane,LA_EQ,LA_Hurricane,Seasonality_Dummy,Trigger_Type,Trigger_Type_Dummy,Rating,Rating_Dummy,Rating_Grade,Rating_Grade_Dummy,EL,Spread_Primary,Spread_Secondary,Price_Primary,Price_Secondary,SP500_Quarterly_Return,Corp_Credit_Spread,Rate_on_Line_Index,Ref_Date
0,KY92850FAA20,Vitality Re X A,2019-01-14,2023-01-10,47.9,45.47,140.0,4.941642422609304,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BBB+,3.0,IG,1.0,0.0001,0.0175,0.0175,100.0,100.215,0.136479,0.015700000000000002,0.012613914203156155,2019-03-29
1,KY92850FAA20,Vitality Re X A,2019-01-14,2023-01-10,47.9,42.48,140.0,4.941642422609304,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BBB+,3.0,IG,1.0,0.0001,0.0175,0.0175,100.0,100.325,0.043038,0.015600000000000001,0.012613914203156155,2019-06-28
2,KY92850FAA20,Vitality Re X A,2019-01-14,2023-01-10,47.9,39.39,140.0,4.941642422609304,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BBB+,3.0,IG,1.0,0.0001,0.0175,0.0175,100.0,100.36,0.016984,0.013000000000000001,0.012613914203156155,2019-09-30
3,KY92850FAA20,Vitality Re X A,2019-01-14,2023-01-10,47.9,36.36,140.0,4.941642422609304,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BBB+,3.0,IG,1.0,0.0001,0.0175,0.0175,100.0,100.34,0.090627,0.039599999999999996,0.012613914203156155,2019-12-31
4,KY92850FAA20,Vitality Re X A,2019-01-14,2023-01-10,47.9,33.37,140.0,4.941642422609304,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BBB+,3.0,IG,1.0,0.0001,0.0175,0.0175,100.0,90.055,-0.196019,0.0207,0.04999176864402137,2020-03-31
5,KY92850FAA20,Vitality Re X A,2019-01-14,2023-01-10,47.9,30.38,140.0,4.941642422609304,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BBB+,3.0,IG,1.0,0.0001,0.0175,0.0175,100.0,98.31,0.205435,0.0184,0.04999176864402137,2020-06-30
6,KY92850FAA20,Vitality Re X A,2019-01-14,2023-01-10,47.9,27.35,140.0,4.941642422609304,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BBB+,3.0,IG,1.0,0.0001,0.0175,0.0175,100.0,97.41,0.089293,0.013000000000000001,0.04999176864402137,2020-09-30
7,KY92850FAA20,Vitality Re X A,2019-01-14,2023-01-10,47.9,24.33,140.0,4.941642422609304,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BBB+,3.0,IG,1.0,0.0001,0.0175,0.0175,100.0,96.295,0.121439,0.011899999999999999,0.04999176864402137,2020-12-31
8,KY92850FAB03,Vitality Re X B,2019-01-14,2023-01-10,47.9,45.47,60.0,4.0943445622221,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BB+,2.0,NIG,0.0,0.0017,0.02,0.02,100.0,100.925,0.136479,0.024300000000000002,0.012613914203156155,2019-03-29
9,KY92850FAB03,Vitality Re X B,2019-01-14,2023-01-10,47.9,42.48,60.0,4.0943445622221,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BB+,2.0,NIG,0.0,0.0017,0.02,0.02,100.0,100.425,0.043038,0.0232,0.012613914203156155,2019-06-28
10,KY92850FAB03,Vitality Re X B,2019-01-14,2023-01-10,47.9,39.39,60.0,4.0943445622221,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BB+,2.0,NIG,0.0,0.0017,0.02,0.02,100.0,100.46,0.016984,0.0202,0.012613914203156155,2019-09-30
11,KY92850FAB03,Vitality Re X B,2019-01-14,2023-01-10,47.9,36.36,60.0,4.0943445622221,Other,1.0,0.0,North America,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indemnity,1.0,BB+,2.0,NIG,0.0,0.0017,0.02,0.02,100.0,100.44,0.090627,0.0641,0.012613914203156155,2019-12-31
