Index,ISIN,Name,Issuance_Date,Maturity_Date,Term,TTM,Volume,Peril_Type,Peril_Types,Peril_Type_Dummy,Peril_Region,Peril_Regions,Peril_Region_Dummy,NA_EQ,NA_Hurricane,NA_Winterstorm,NA_Windstorm,JP_EQ,JP_Hurricane,JP_Winterstorm,JP_Windstorm,EU_EQ,EU_Winterstorm,EU_Windstorm,AUS_EQ,AUS_Hurricane,LA_EQ,LA_Hurricane,Trigger_Type,Trigger_Type_Dummy,Rating,Rating_Dummy,Rating_Grade,Rating_Grade_Dummy,EL,Spread_Primary,Spread_Secondary,Price_Primary,Price_Secondary,Ref_Date
0,US90215BAA52,2001 Cat Re 2020-1,2020-11-20,2024-01-08,37.61,36.26,210,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,599.0,1200.0,1200,100.0,100.53999999999999,2020-12-31
1,US88577CAA99,3264 Re 2020-1,2020-01-24,2023-02-07,36.49,34.29,150,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,455.99999999999994,50.0,975,100.0,96.32,2020-03-31
2,US88577CAA99,3264 Re 2020-1,2020-01-24,2023-02-07,36.49,31.3,150,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,455.99999999999994,50.0,975,100.0,99.545,2020-06-30
3,US88577CAA99,3264 Re 2020-1,2020-01-24,2023-02-07,36.49,28.27,150,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,455.99999999999994,50.0,975,100.0,102.91,2020-09-30
4,US88577CAA99,3264 Re 2020-1,2020-01-24,2023-02-07,36.49,25.25,150,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,455.99999999999994,50.0,975,100.0,103.015,2020-12-31
5,US00485YAA73,Acorn Re,2015-07-10,2018-07-17,36.26,12.56,300,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,74.0,340.0,340,100.0,101.65,2017-06-30
6,US00485YAA73,Acorn Re,2015-07-10,2018-07-17,36.26,9.57,300,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,74.0,340.0,340,100.0,100.945,2017-09-29
7,US00485YAA73,Acorn Re,2015-07-10,2018-07-17,36.26,6.58,300,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,64.0,340.0,329,100.0,100.71000000000001,2017-12-29
8,US00485YAA73,Acorn Re,2015-07-10,2018-07-17,36.26,3.62,300,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,64.0,340.0,329,100.0,100.5,2018-03-29
9,US00485YAA73,Acorn Re,2015-07-10,2018-07-17,36.26,0.59,300,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,64.0,340.0,329,100.0,100.03999999999999,2018-06-29
10,US00485YAB56,Acorn Re 2018-1,2018-07-10,2021-11-10,40.08,37.45,400,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,80.0,275.0,275,100.0,100.15,2018-09-28
