,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,Risk Linked Securities: Indicative Pricing,,,,,,,,,,,,,,,,,,,,,,2017-08-31 00:00:00,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,Security,,Bloomberg,,Size ,Issuance,Scheduled,,,Long-Term,,Near-Term,,,Ratings,,,,Spread,,Price,,Aggregate/,,,,,,,,
3,,,Issue,ID#,,Ticker,,($MM),Date,Maturity,,Regions/Perils,AP,EL,AP,EL,,S&P,M,F,Coupon,Bid,Offer,Bid,Offer,Occurrence,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Earthquake,,Acorn Re,00485YAA7,,ACORNR,,300,2015-07-10 00:00:00,2018-07-17 00:00:00,,"US, Can, Mex",0.96,0.74,,,,,,BB,340,175.2840666176043,132.7840666176043,101.42,101.78,Occurrence,,,,,,,Ursa Re 2017-1 E,100.43
6,,,CAR 113 Class A ,XS1654184842,,IBRD,,150,2017-08-04 00:00:00,2020-08-11 00:00:00,,"CA/AZ/TX/NV, MX/BZ/GT/HN/SV",5.73,3.43,,,,,,,450,450,437.5,100,100.34,Occurrence,,,,,,,Citrus Re 2017-1 A,100.89
7,,,Golden State Re II,38123FAA6,,GOLDST,,250,2014-09-11 00:00:00,2019-01-08 00:00:00,,CA,0.49,0.25,,,,BB+,,,220,238.45000000000002,194.45000000000002,99.75,100.34,Occurrence,,,,,,,Caelus Re V 2017-1 B,101.14
8,,,Kilimanjaro Re 2014-2 C,494074AE7,,KILIREL,,500,2014-11-18 00:00:00,2019-11-25 00:00:00,,"US, Canada",2.26,1.46,,,,BB-,,,375,300.5,279.5,101.59,102.04,Occurrence,,,,,,,Caelus Re V 2017-1 D,102.57
9,,,Merna Re 2015-1,59012UAA3,,MERNA,,300,2015-03-31 00:00:00,2018-04-09 00:00:00,,New Madrid,0.56,0.41,,,,,,,200,197,143.1,100.02,100.34,Occurrence,,,,,,,Galilei Re 2017-1 A-2,101.42
10,,,Merna Re 2016-1,59012UAB1,,MERNA,,300,2016-03-31 00:00:00,2019-04-08 00:00:00,,New Madrid,0.56,0.41,,,,,,,225,197,168.49999999999997,100.44,100.88,Occurrence,,,,,,,Kilimanjaro II Re 2017-1 A-1,103.21
11,,,Merna Re 2017-1,59012UAC9,,MERNA,,300,2017-03-31 00:00:00,2020-04-08 00:00:00,,New Madrid,0.56,0.41,,,,,,,200,197,179,100.07,100.53,Occurrence,,,,,,,Res Re 2017 I 10,89.12
12,,,Torrey Pines 2017-1 A,89141WAA0,,TORPNE,,45,2017-05-08 00:00:00,2020-06-09 00:00:00,,US EQ,1.14,0.89,,,,,,,300,300,283.5,100,100.43,Occurrence,,,,,,,,
13,,,Torrey Pines 2017-1 B,89141WAB8,,TORPNE,,66,2017-05-08 00:00:00,2020-06-09 00:00:00,,US EQ,1.94,1.49,,,,,,,375,371.69,355.19,100.09,100.51,Occurrence,,,,,,,,
14,,,Ursa Re 2014-1 A,90323WAA8,,URSARE,,200,2014-12-01 00:00:00,2017-12-07 00:00:00,,CA,1.27,1.18,,,,,,,350,341.47999999999996,208.28,100.02,100.36,Aggregate,,,,,,,,
15,,,Ursa Re 2014-1 B,90323WAB6,,URSARE,,200,2014-12-01 00:00:00,2017-12-07 00:00:00,,CA,2.81,2.55,,,,,,,500,534,386,99.91,100.29,Aggregate,,,,,,,,
16,,,Ursa Re 2015-1 B,90323WAC4,,URSARE,,250,2015-09-15 00:00:00,2018-09-21 00:00:00,,CA,2.8,2.55,,,,,,,500,358.2297687499965,320.89643541666317,101.45,101.84,Aggregate,,,,,,,,
17,,,Ursa Re 2016-1 A,90323WAD2,,URSARE,,500,2016-11-30 00:00:00,2019-12-10 00:00:00,,CA,2.38,2.18,,,,,,,400,359.4593351701948,343.2093351701947,100.87,101.22,Aggregate,,,,,,,,
18,,,Ursa Re 2017-1 B,90323WAE0,,URSARE,,425,2017-05-16 00:00:00,2020-05-27 00:00:00,,CA,1.19,1.11,,,,,,,350,338.79306999999955,326.6930699999995,100.29,100.6,Aggregate,,,,,,,,
19,,,Ursa Re 2017-1 E,90323WAF7,,URSARE,,500,2017-05-16 00:00:00,2020-05-27 00:00:00,,CA,3.72,3.33,,,,,,,600,582.4071,570.3071,100.43,100.73,Aggregate,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,US Wind,,Alamo Re 2015-1 A,011395AB6,,ALALTD,,300,2015-05-13 00:00:00,2018-06-07 00:00:00,,TX,1.4,1.37,1.55,1.52,,,,B+,481,433.4829488777191,384.7329488777191,100.35,100.71,Aggregate,,,,,,,,
23,,,Alamo Re 2015-1 B,011395AC4,,ALALTD,,400,2015-05-13 00:00:00,2019-06-07 00:00:00,,TX,1.3,1.22,1.44,1.36,,,,BB-,440,380.6954227144812,359.4454227144812,101,101.36,Aggregate,,,,,,,,
24,,,Alamo Re 2017-1 A,011395AD2,,ALALTD,,400,2017-05-30 00:00:00,2020-06-08 00:00:00,,TX,2.28,1.71,2.5,1.88,,,,,375,365.2943623453139,350.6276956786473,100.25,100.63,Aggregate,,,,,,,,
25,,,CAR 114 Class B,XS1654183364,,IBRD,,100,2017-08-04 00:00:00,2019-12-20 00:00:00,,"Mex, TX",7.97,5.56,8.29,5.77,,,,,930,929.8050557026883,913.5550557026883,100,100.33,Occurrence,,,,,,,,
26,,,CAR 115 Class C,XS1654184099,,IBRD,,110,2017-08-04 00:00:00,2019-12-20 00:00:00,,Mex,5.8,3.96,,,,,,,590,590,573.75,100,100.34,Occurrence,,,,,,,,
27,,,Casablanca Re 2017-1 A,XS1611031524,,CASARE,,66.95,2017-06-01 00:00:00,2020-06-04 00:00:00,,FL,1.13,0.8,1.34,0.96,,,,,375,349.9916815973545,336.2416815973545,100.65,101.01,Occurrence,,,,,,,,
28,,,Casablanca Re 2017-1 B,XS1611032761,,CASARE,,26.3,2017-06-01 00:00:00,2020-06-04 00:00:00,,FL,4.13,1.77,4.66,2.08,,,,,525,494.53907797011664,480.78907797011664,100.77,101.12,Occurrence,,,,,,,,
29,,,Casablanca Re 2017-1 C,XS1611032928,,CASARE,,6.75,2017-06-01 00:00:00,2020-06-04 00:00:00,,FL,17.26,9.93,18.89,10.99,,,,,1600,1506.3274321275403,1493.1274321275403,102.08,102.37,Occurrence,,,,,,,,
30,,,Citrus Re 2015-1 A,177510AC8,,CITREL,,150,2015-04-08 00:00:00,2018-04-09 00:00:00,,US,1.52,1.4,1.73,1.6,,,,,516,297.54430769542137,232.21097436208805,101.28,101.67,Occurrence,,,,,,,,
31,,,Citrus Re 2015-1 B,177510AD6,,CITREL,,97.5,2015-04-08 00:00:00,2018-04-09 00:00:00,,US,4.6,2.89,5.16,3.3,,,,,690,441.7092429821716,376.3759096488382,101.44,101.83,Occurrence,,,,,,,,
32,,,Citrus Re 2015-1 C,177510AE4,,CITREL,,30,2015-04-08 00:00:00,2018-04-09 00:00:00,,US,7.34,5.72,8.21,6.42,,,,,1014,856.621285213454,791.2879518801207,100.89,101.27,Occurrence,,,,,,,,
33,,,Citrus Re 2016-1 D,177510AF1,,CITREL,,150,2016-02-24 00:00:00,2019-02-25 00:00:00,,US,4.19,3.01,4.59,3.31,,,,,774,564.7962612932105,542.7962612932105,102.93,103.25,Occurrence,,,,,,,,
34,,,Citrus Re 2016-1 E,177510AG9,,CITREL,,100,2016-02-24 00:00:00,2019-02-25 00:00:00,,US,8.11,5.75,8.83,6.29,,,,,1103,903.5979187605701,881.5979187605702,102.7,103.01,Occurrence,,,,,,,,
35,,,Citrus Re 2017-1 A,177510AH7,,CITREL,,125,2017-03-13 00:00:00,2020-03-18 00:00:00,,US,5.42,3.21,6.06,3.65,,,,,600,561.3452090445404,548.1452090445404,100.89,101.2,Occurrence,,,,,,,,
36,,,Citrus Re 2017-2 B,177510AJ3,,CITREL,,35,2017-05-11 00:00:00,2020-03-18 00:00:00,,US,7.34,6.6,8.15,7.34,,,,,1075,1014.5237675216956,998.5237675216955,101.3,101.66,Occurrence,,,,,,,,
37,,,Cranberry Re,224287AA0,,CBRYRE,,300,2015-04-30 00:00:00,2018-07-06 00:00:00,,MA,3.198,1.429,3.22,1.435,,,,B,390,228.59813585413295,181.9314691874663,101.33,101.72,Aggregate,,,,,,,,
