,Date,Quarter,NA_EQ,NA_Hurricane,NA_Winterstorm,NA_Windstorm,JP_EQ,JP_Hurricane,JP_Winterstorm,JP_Windstorm,EU_EQ,EU_Winterstorm,EU_Windstorm,AUS_EQ,AUS_Hurricane,LA_EQ,LA_Hurricane,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,1996-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
1,1997-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,"Source:
- NA_EQ: N/A
- NA_Hurricane: https://www.nhc.noaa.gov/climo/
- NA_Winterstorm:  https://tornadogenius.fandom.com/wiki/2020-21_United_States_winter_storm_season
- NA_Windstorm: https://www.nhc.noaa.gov/climo/
- JP_EQ: N/A
- JP_Hurricane: https://www.jrailpass.com/blog/typhoons-japan
- JP_Winterstorm: https://www.ana.co.jp/en/us/japan-travel-planner/ideas/seasons/
- JP_Windstorm: https://www.jrailpass.com/blog/typhoons-japan
- EU_EQ: N/A
- EU_Winterstorm: https://www.artemis.bm/news/losses-mount-in-worst-european-winter-storm-season-since-1990/
- EU_Windstorm: https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GL091483
- AUS_EQ: N/A
- AUS_Hurricane: http://www.bom.gov.au/cyclone/climatology/wa.shtml
- LA_EQ: N/A
- LA_Hurricane: https://storymaps.arcgis.com/stories/cd9820c4c79e4d56ac1ebde2c5ac7a00",,,,,,,
2,1997-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
3,1997-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
4,1997-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
5,1998-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
6,1998-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
7,1998-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
8,1998-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
9,1999-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
10,1999-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
11,1999-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
12,1999-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
13,2000-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
14,2000-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
15,2000-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
16,2000-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
17,2001-03-31,Q1,-,No season,High season,No season,-,No season,High season,No season,-,High season,After season,-,High season,-,No season,,,,,,,,,
18,2001-06-30,Q2,-,Pre season,After season,Pre season,-,Pre season,After season,Pre season,-,After season,No season,-,After season,-,Pre season,,,,,,,,,
19,2001-09-30,Q3,-,High season,No season,High season,-,High season,No season,High season,-,No season,Pre season,-,No season,-,High season,,,,,,,,,
20,2001-12-31,Q4,-,After season,Pre season,After season,-,After season,Pre season,After season,-,Pre season,High season,-,Pre season,-,After season,,,,,,,,,
