Index,ISIN,Name,Issuance_Date,Maturity_Date,Term,TTM,Volume,Peril_Type,Peril_Types,Peril_Type_Dummy,Peril_Region,Peril_Regions,Peril_Region_Dummy,NA_EQ,NA_Hurricane,NA_Winterstorm,NA_Windstorm,JP_EQ,JP_Hurricane,JP_Winterstorm,JP_Windstorm,EU_EQ,EU_Winterstorm,EU_Windstorm,AUS_EQ,AUS_Hurricane,LA_EQ,LA_Hurricane,Trigger_Type,Trigger_Type_Dummy,Rating,Rating_Dummy,Rating_Grade,Rating_Grade_Dummy,EL,Spread_Primary,Spread_Secondary,Price_Primary,Price_Secondary,Ref_Date
0,US88577CAA99,3264 Re 2020-1 A,2020-01-24,2023-02-07,36.49,34.29,150.0,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,456.0,50.0,975.0,100.0,95.95,2020-03-31
1,US88577CAA99,3264 Re 2020-1 A,2020-01-24,2023-02-07,36.49,31.3,150.0,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,456.0,50.0,975.0,100.0,98.79,2020-06-30
2,US88577CAA99,3264 Re 2020-1 A,2020-01-24,2023-02-07,36.49,28.27,150.0,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,456.0,50.0,975.0,100.0,101.66,2020-09-30
3,US88577CAA99,3264 Re 2020-1 A,2020-01-24,2023-02-07,36.49,25.25,150.0,"Wind, Hurricane, EQ",3.0,0.0,"North America, Europe",2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,NR,0.0,NR,0.0,456.0,50.0,975.0,100.0,102.47,2020-12-31
4,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,33.57,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,100.88,2015-09-30
5,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,30.54,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,100.92,2015-12-31
6,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,27.55,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,101.06,2016-03-31
7,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,24.56,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,103.23,2016-06-30
8,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,21.53,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,102.87,2016-09-30
9,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,18.54,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,102.48,2016-12-30
10,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,15.55,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,102.57,2017-03-31
11,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,12.56,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,101.78,2017-06-30
12,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,9.57,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,101.02,2017-09-29
13,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,6.58,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,100.6,2017-12-29
14,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,3.62,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,100.45,2018-03-29
15,US00485YAA73,Acorn Re 2015-1 A,2015-07-10,2018-07-17,36.26,0.59,300.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB,2.0,NIG,0.0,100.0,340.0,300.0,100.0,100.05,2018-06-29
16,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,37.45,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,100.0,275.0,300.0,100.0,99.98,2018-09-28
17,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,34.36,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,98.68,2018-12-31
18,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,31.46,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,100.04,2019-03-29
19,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,28.47,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,98.95,2019-06-28
20,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,25.38,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,99.45,2019-09-30
21,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,22.36,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,98.82,2019-12-31
22,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,19.36,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,97.85,2020-03-31
23,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,16.37,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,99.2,2020-06-30
24,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,13.35,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,100.2,2020-09-30
25,US00485YAB56,Acorn Re 2018-1 A,2018-07-10,2021-11-10,40.08,10.32,400.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Parametric,0.0,NR,0.0,NR,0.0,81.0,275.0,275.0,100.0,100.29,2020-12-31
26,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,39.62,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,100.14,2005-12-30
27,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,36.63,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,100.46,2006-03-31
28,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,33.63,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,99.92,2006-06-30
29,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,30.64,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,97.83,2006-09-29
30,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,27.65,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,99.03,2006-12-29
31,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,24.66,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,100.06,2007-03-30
32,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,21.67,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,100.26,2007-06-29
33,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,18.67,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,100.62,2007-09-28
34,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,15.58,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,101.78,2007-12-31
35,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,12.59,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,102.38,2008-03-31
36,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,6.58,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,99.1,2008-09-30
37,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,3.55,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,98.62,2008-12-31
38,XS0235880217,Aiolos,2005-11-18,2009-04-18,41.0,0.59,129.52,Wind,1.0,0.0,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Parametric,0.0,BB+,2.0,NIG,0.0,100.0,475.0,500.0,100.0,100.0,2009-03-31
39,US00969MAA80,Ajax Re,2007-04-25,2009-05-08,24.46,22.32,100.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,BB+,2.0,NIG,0.0,200.0,625.0,600.0,100.0,100.29,2007-06-29
40,US00969MAA80,Ajax Re,2007-04-25,2009-05-08,24.46,19.33,100.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,BB+,2.0,NIG,0.0,200.0,625.0,600.0,100.0,100.75,2007-09-28
41,US00969MAA80,Ajax Re,2007-04-25,2009-05-08,24.46,16.24,100.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,BB+,2.0,NIG,0.0,200.0,625.0,600.0,100.0,100.67,2007-12-31
42,US00969MAA80,Ajax Re,2007-04-25,2009-05-08,24.46,13.25,100.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,BB+,2.0,NIG,0.0,200.0,625.0,600.0,100.0,100.6,2008-03-31
43,US00969MAA80,Ajax Re,2007-04-25,2009-05-08,24.46,7.23,100.0,EQ,1.0,0.0,North America,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Industry Loss Index,0.0,BB+,2.0,NIG,0.0,200.0,625.0,600.0,100.0,42.0,2008-09-30
